regname,areaname,tername,KOATUU_2020,KATOTTG_2023
Івано-Франківська область,Снятинський район,м.Снятин,2625210100,UA26080230010020173
Закарпатська область,Воловецький район,с.Верхні Ворота,2121582501,UA21040190050095127
Одеська область,Іванівський район,с.Причепівка (Баранівська сільрада),5121880403,UA51020090130015897
Полтавська область,Гребінківський район,м.Гребінка,5320810100,UA53040010010092378
Херсонська область,Білозерський район,с.Киселівка,6520383001,UA65100170050033648
Харківська область,Лозівський район,смт Орілька,6323955700,UA63100050030074292
Тернопільська область,Бережанський район,с.Літятин,6120487905,UA61040410100043230
Волинська область,Камінь-Каширський район,с.Осівці,0721485801,UA07040010380046146
Івано-Франківська область,Снятинський район,с.Тростянець,2625255310,UA26080050160011972
Хмельницька область,Ізяславський район,с.Покощівка (Михнівська сільрада),6822183903,UA68060090320089461
Житомирська область,Народицький район,смт Народичі,1823755100,UA18060150010061189
Полтавська область,Диканський район,смт Диканька,5321055100,UA53080050010011580
Волинська область,Луцький район,с.Гаразджа (Піддубцівська сільрада),0722885002,UA07080230080098238
Вінницька область,Тульчинський район,с.Зарічне,0524381701,UA05100150100082089
Івано-Франківська область,Надвірнянський район,смт Делятин,2624055900,UA26120030010073051
Запорізька область,Приазовський район,с.Дівнинське,2324580302,UA23080190060085411
Чернівецька область,Герцаївський район,с.Горбова,7320784004,UA73060430050054014
Київська область,Макарівський район,с.Новосілки,3222786101,UA32140030090084357
Львівська область,Радехівський район,с.Стоянів,4623985801,UA46120090360083660
Запорізька область,Веселівський район,с.Піскошине (Менчикурівська сільрада),2321284002,UA23080010090058623
Хмельницька область,Ізяславський район,с.Клубівка,6822182601,UA68060090190041358
Полтавська область,Полтавський район,с.Терешки,5324085901,UA53080430010099959
Житомирська область,Червоноармійський район,с.Радецька Болярка (Кошелівська сільрада),1825482204,UA18040430260071038
Рівненська область,Рівненський район,с.Шубків,5624689801,UA56060050110023332
Сумська область,Білопільський район,с.Товста,5920655337,UA59080130360073381
Кіровоградська область,Світловодський район,с.Миронівка,3525284601,UA35080170060070782
Чернівецька область,Сторожинецький район,с.Їжівці,7324586003,UA73060630030049866
Полтавська область,Козельщинський район,с.Бреусівка,5322080401,UA53020090030067742
Волинська область,Володимир-Волинський район,с.Хрипаличі (П'ятиднівська сільрада),0720510424,UA07020210250083942
Закарпатська область,Мукачівський район,с.Чомонин,2122787801,UA21100050050088549
Чернівецька область,Сторожинецький район,с.Старі Бросківці,7324589001,UA73060250070059063
Рівненська область,Млинівський район,с.Загатинці (Підлозцівська сільрада),5623886703,UA56040230040075994
Вінницька область,Мурованокуриловецький район,с.Котюжани,0522883301,UA05080070230037507
Рівненська область,Рокитнівський район,с.Глинне,5625082601,UA56080010030066719
Чернігівська область,Талалаївський район,смт Талалаївка,7425355100,UA74080190010058035
Хмельницька область,Полонський район,с.Котелянка,6823610113,UA68060210150068157
Сумська область,Роменський район,с.Хмелів,5924189401,UA59060150010083858
Волинська область,Луцький район,с.Липини,0722883401,UA07080230120023252
Полтавська область,Полтавський район,с.Розсошенці (Щербанівська сільрада),5324087705,UA53080470120047950
Закарпатська область,Свалявський район,с.Керецьки,2124082901,UA21120150010097033
Львівська область,Кам'янка-Бузький район,смт Добротвір,4622155300,UA46120050010093637
Волинська область,Камінь-Каширський район,с.Карпилівка (Карасинська сільрада),0721484302,UA07040090050063240
Черкаська область,Чорнобаївський район,с.Скородистик (Іркліївська сільрада),7125182803,UA71040130180016863
Волинська область,Ратнівський район,с.Гірники,0724281801,UA07060310070070009
Волинська область,Ківерцівський район,с.Покащів,0721885401,UA07080210130075045
Донецька область,Слов'янський район,смт Райгородок,1424256200,UA14120130030018028
Тернопільська область,Теребовлянський район,с.Золотники,6125083601,UA61040190010023959
Харківська область,Зміївський район,с-ще Першотравневе (Бірківська сільрада),6321780509,UA63140030440010709
Черкаська область,Чорнобаївський район,с.Велика Бурімка,7125181201,UA71040190040047139
Одеська область,Ренійський район,с.Долинське,5124180501,UA51080070020029115
Чернігівська область,Щорський район,м.Щорс,7425810100,UA74020050010092446
Київська область,Києво-Святошинський район,с.Горенка,3222482401,UA32080110020078708
Львівська область,Сокальський район,с.Завишень (смт Жвирка),4624855301,UA46120110160095841
Івано-Франківська область,Городенківський район,с.Чернятин,2621687001,UA26080030370045939
Харківська область,Краснокутський район,с.В'язова,6323580501,UA63020090070058554
Херсонська область,Чаплинський район,с.Григорівка,6525481001,UA65060190010016416
Волинська область,Любешівський район,с.Великий Курінь,0723155108,UA07040030070048892
Волинська область,Рожищенський район,с.Пожарки,0724585201,UA07080250310043766
Донецька область,Володарський район,с.Суженка (Боївська сільрада),1421781105,UA14140070210033962
Запорізька область,Приазовський район,с.Ботієве,2324581401,UA23080230050039954
Житомирська область,Коростенський район,с.Заріччя (Ушомирська сільрада),1822386003,UA18060230110046879
Рівненська область,Сарненський район,с.Чудель,5625488801,UA56080030100066251
Івано-Франківська область,Богородчанський район,с.Бабче,2620480401,UA26040290020026134
Полтавська область,Гадяцький район,с.Петрівка-Роменська,5320485201,UA53060250010098781
Черкаська область,Драбівський район,с.Погреби,7120688401,UA71040210150073563
Вінницька область,Калинівський район,с.Сальник,0521687503,UA05120070370079850
Донецька область,Великоновосілківський район,с-ще Урожайне (Старомайорська сільрада),1421284805,UA14040010280021312
Дніпропетровська область,Царичанський район,с.Михайлівка,1225655115,UA12020310120045333
Донецька область,м.Добропілля,смт Новодонецьке,1411545600,UA14120150010028915
Черкаська область,Смілянський район,с.Балаклея,7123780501,UA71080010010092649
Тернопільська область,Зборівський район,с.Плесківці (Чернихівська сільрада),6110190009,UA61040490100055555
Львівська область,Дрогобицький район,с.Вороблевичі,4621281801,UA46020050040028206
Одеська область,Березівський район,с.Ставкове,5121283613,UA51020230120073044
Дніпропетровська область,Верхньодніпровський район,м.Верхньодніпровськ,1221010100,UA12040050010019298
Черкаська область,Черкаський район,с.Яснозір'я,7124989501,UA71080290130039868
Луганська область,Новоайдарський район,с.Гречишкине,4423181201,UA44160030060089856
Чернівецька область,Новоселицький район,с.Рідківці,7323083604,UA73060350050027150
Івано-Франківська область,Рогатинський район,м.Рогатин,2624410100,UA26040270010067876
Кіровоградська область,Устинівський район,с.Седнівка,3525887801,UA35040330300055599
Київська область,Ставищенський район,с.Бесідка,3224280801,UA32020170030029238
Чернівецька область,Герцаївський район,м.Герца,7320710100,UA73060130010067568
Тернопільська область,Борщівський район,смт Скала-Подільська,6120855700,UA61060350010027203
Волинська область,Ковельський район,с.Черемошне (Кричевичівська сільрада),0722183609,UA07060210190030834
Сумська область,Білопільський район,м.Ворожба,5920610300,UA59080070010055315
Полтавська область,Полтавський район,с.Валок (Валківська сільрада),5324080301,UA53080370100023885
Львівська область,Сколівський район,с.Тухля,4624587801,UA46100210130069026
Полтавська область,Хорольський район,с.Шишаки,5324881912,UA53040110900037471
Львівська область,Пустомитівський район,с.Лапаївка,4623683701,UA46060170020021317
Дніпропетровська область,Верхньодніпровський район,м.Верхівцеве,1221010300,UA12040030010058766
Закарпатська область,Іршавський район,с.Білки,2121980801,UA21120010010048679
Черкаська область,Городищенський район,с.Вербівка,7120355403,UA71020070020031025
Закарпатська область,Берегівський район,с.Мала Бийгань (Великобийганська сільрада),2120482002,UA21020070060092126
Львівська область,Кам'янка-Бузький район,с.Колоденці (Жовтанецька сільрада),4622183304,UA46060150080060612
Чернігівська область,Козелецький район,с.Нічогівка,7422086201,UA74100190270063201
Львівська область,Сокальський район,с.Волиця,4624810604,UA46120030060029783
Львівська область,Сокальський район,с.Волиця,4624881101,UA46120110100038875
Вінницька область,Чернівецький район,с.Бабчинці,0524980301,UA05080010010065551
Чернівецька область,Сокирянський район,с.Нова Слобода (Вашковецька сільрада),7324082002,UA73040010020091935
Херсонська область,Білозерський район,с.Посад-Покровське,6520385001,UA65100170080028965
Рівненська область,Здолбунівський район,м.Здолбунів,5622610100,UA56060250010051586
Миколаївська область,Снігурівський район,с-ще Широке (Червонодолинська сільрада),4825786001,UA48020230010060096
Луганська область,Білокуракинський район,с.Просторе,4420987701,UA44100010270026211
Миколаївська область,Казанківський район,с.Новофедорівка,4823684801,UA48020130340072051
Тернопільська область,Бучацький район,с.Сновидів,6121255508,UA61060190120014910
Львівська область,Яворівський район,с.Рясне-Руське,4625887501,UA46060250190091381
Запорізька область,Вільнянський район,с.Солоне,2321586120,UA23060230190058919
Дніпропетровська область,Криворізький район,с.Веселий Кут (Глеюватська сільрада),1221882002,UA12060050020010915
Дніпропетровська область,Широківський район,с.Зелена Балка,1225885505,UA12060230020030998
Рівненська область,Костопільський район,с.Постійне,5623481607,UA56060190070060283
Чернігівська область,Чернігівський район,с.Радянська Слобода,7425583405,UA74100130050060660
Тернопільська область,Збаразький район,с.Мишківці (Старовишнівецька сільрада),6122455306,UA61020050200087530
Полтавська область,Решетилівський район,смт Решетилівка,5324210100,UA53080390010041197
Полтавська область,Полтавський район,с.Кованчик (Мачухівська сільрада),5324083204,UA53080230100021287
Запорізька область,Запорізький район,смт Малокатеринівка,2322155900,UA23060110030035274
Івано-Франківська область,Івано-Франківська область,м.Бурштин,2610300000,UA26040070010092973
Львівська область,Радехівський район,с.Синьків,4623984901,UA46120090340087409
Закарпатська область,Хустський район,с.Вільшани,2125386901,UA21120090020098039
Кіровоградська область,Добровеличківський район,с.Тишківка,3521786001,UA35060250010051036
Луганська область,Сватівський район,с.Куземівка,4424082501,UA44100030080011902
Львівська область,Бродівський район,с.Шпаки (Поповецька сільрада),4620386205,UA46040110310040583
Миколаївська область,Снігурівський район,с.Безіменне (Тамаринська сільрада),4825710102,UA48020190030071680
Івано-Франківська область,Тлумацький район,с.Петрів,2625687601,UA26040250110086766
Донецька область,Добропільський район,с.Шилівка,1422088801,UA14160090210026013
Рівненська область,Рівненський район,с.Городок,5624683301,UA56060150010031251
Харківська область,Зміївський район,смт Зідьки,6321755300,UA63140030020038654
Херсонська область,Бериславський район,с.Степне,6520686701,UA65020190060060993
Івано-Франківська область,Тисменицький район,с.Черніїв,2625887801,UA26040190180015208
Львівська область,Самбірський район,м.Новий Калинів,4624210300,UA46080070010059040
Рівненська область,Володимирецький район,с.Довговоля,5620883401,UA56020050070024863
Рівненська область,Рокитнівський район,с.Томашгород,5625087401,UA56080150250059478
Львівська область,Жидачівський район,с.Рогізно (Бережницька сільрада),4621580605,UA46100050150090249
Харківська область,Чугуївський район,с.Велика Бабка (Виликобабчанська сільрада),6325482001,UA63140170040026466
Вінницька область,Погребищенський район,с.Смаржинці (Білашківська сільрада),0523481003,UA05020210440074976
Закарпатська область,Ужгородський район,смт Середнє,2124855500,UA21100150010051569
Київська область,Переяслав-Хмельницький район,с.Єрківці (Єрковецька сільрада),3223382004,UA32040070040093190
Херсонська область,Нововоронцовський район,с.Хрещенівка,6524182501,UA65020150080087246
Закарпатська область,Свалявський район,с.Голубине,2124081601,UA21040210020055435
Київська область,Макарівський район,с.Липівка,3222783801,UA32080190200076979
Херсонська область,Великоолександрівський район,с.Давидів Брід,6520982001,UA65020050120053151
Чернігівська область,Чернігівський район,с.Роїще,7425589307,UA74100270120019288
Дніпропетровська область,Новомосковський район,с.Гнатівка (Новостепанівська сільрада),1223284504,UA12100010090031902
Львівська область,Сокальський район,с.Сілець,4624886601,UA46120130140066919
Житомирська область,Овруцький район,с.Листвин,1824287314,UA18060210160016627
Хмельницька область,Старокостянтинівський район,с.Великі Мацевичі,6824281001,UA68040390080057321
Волинська область,Ратнівський район,с.Межисить,0724286915,UA07060350120078242
Хмельницька область,Старокостянтинівський район,с.Сербинівка,6824288001,UA68040410150068988
Вінницька область,Липовецький район,с.Зозів,0522281401,UA05020110110099638
Закарпатська область,Мукачівський район,с.Кучава (Верхньокоропецька сільрада),2122781605,UA21040030060020318
Кіровоградська область,Ульяновський район,с.Кам'яна Криниця,3525584201,UA35020010100089885
Київська область,Яготинський район,с.Гензерівка (Лемешівська сільрада),3225583002,UA32040210050091669
Запорізька область,Оріхівський район,м.Оріхів,2323910100,UA23100170010023304
Львівська область,Сколівський район,с.Лавочне,4624584001,UA46100210070041834
Вінницька область,Тульчинський район,смт Шпиків,0524355600,UA05100170010030569
Полтавська область,Решетилівський район,с.Жовтневе,5324280901,UA53080390850094575
Кіровоградська область,Кіровоградська область,м.Знам'янка,3510600000,UA35040130010097956
Одеська область,Ізмаїльський район,с.Озерне,5122084801,UA51080090160066284
Черкаська область,Шполянський район,м.Шпола,7125710100,UA71020330010098440
Рівненська область,Млинівський район,с.Смордва,5623880513,UA56040010130081819
Запорізька область,Вільнянський район,м.Вільнянськ,2321510100,UA23060030010056906
Житомирська область,Романівський район,с.Хижинці,1821485801,UA18040470440033478
Черкаська область,Смілянський район,с.Макіївка,7123787207,UA71080330060063264
Дніпропетровська область,Апостолівський район,м.Апостолове,1220310100,UA12060010010033935
Івано-Франківська область,Надвірнянський район,с.Фітьків,2624085304,UA26120110040098949
Львівська область,Жовківський район,с.Зіболки,4622787201,UA46060130190027141
Київська область,Кагарлицький район,с.Слобода,3222286801,UA32120050280083516
Черкаська область,Чигиринський район,с.Медведівка,7125483501,UA71080230010020086
Запорізька область,Вільнянський район,с.Матвіївка,2321583601,UA23060130010016800
Чернівецька область,Новоселицький район,с.Чорнівка,7323089701,UA73060610030097091
Запорізька область,Приазовський район,с.Калинівка (Розівська сільрада),2324585103,UA23080150080087364
Львівська область,Мостиський район,м.Судова Вишня,4622410500,UA46140070010067363
Київська область,Києво-Святошинський район,с.Шевченкове (Білогородська сільрада),3222480404,UA32080010100014681
Рівненська область,Березнівський район,с.Балашівка,5620480401,UA56060030030041943
Одеська область,Ізмаїльський район,с.Броска,5122080701,UA51080090030049381
Львівська область,Дрогобицький район,с.Медвежа,4621285001,UA46020030170087312
Івано-Франківська область,Галицький район,м.Галич,2621210100,UA26040090010078723
Хмельницька область,Летичівський район,смт Летичів,6823055100,UA68040230010042708
Дніпропетровська область,Синельниківський район,смт Іларіонове,1224855300,UA12140110010072197
Хмельницька область,Шепетівський район,с.Траулин (Хролинська сільрада),6825589005,UA68060290200036090
Київська область,Переяслав-Хмельницький район,с.Лецьки,3223384201,UA32040190030054124
Закарпатська область,Виноградівський район,с.Мала Копаня (Малокопанська сільрада),2121282601,UA21020110070014857
Київська область,Вишгородський район,с.Демидів,3221882401,UA32100030090077939
Львівська область,Перемишлянський район,с.Утіховичі (Осталовицька сільрада),4623385603,UA46060330550024279
Запорізька область,Приморський район,с.Преслав,2324810105,UA23020130170066488
Одеська область,м.Іллічівськ,смт Олександрівка,5110845200,UA51100370020027222
Херсонська область,Іванівський район,с.Нововасилівка,6522955109,UA65040030140073625
Полтавська область,Лубенський район,с.Нижній Булатець (Вищебулатецька сільрада),5322881404,UA53040030340068309
Київська область,Васильківський район,смт Дослідницьке,3221455600,UA32020050020043454
Одеська область,Татарбунарський район,с.Дивізія,5125081601,UA51040030010052012
Дніпропетровська область,Новомосковський район,с.Орілька (Керносівська сільрада),1223283003,UA12100090130045837
Івано-Франківська область,Рожнятівський район,с.Петранка,2624884401,UA26060230060078113
Рівненська область,Березнівський район,с.Малушка (Малинська сільрада),5620486203,UA56060370040098345
Запорізька область,Токмацький район,с.Трудове (Остриківська сільрада),2325283605,UA23100270200071269
Житомирська область,Ружинський район,с.Бистрик,1825281401,UA18020130030025604
Черкаська область,Городищенський район,м.Городище,7120310100,UA71080110010037357
Чернівецька область,Вижницький район,с.Лукавці,7320584001,UA73020030100095657
Івано-Франківська область,Надвірнянський район,с.Гвізд,2624081501,UA26120070030065363
Дніпропетровська область,м.Кривий Ріг,Інгулецький район міста,1211036900,UA12060170010270453
Одеська область,Овідіопольський район,с.Миколаївка,5123782501,UA51100250030087249
Чернігівська область,Чернігівський район,с.Шибиринівка,7425555432,UA74100250380029777
Чернівецька область,Хотинський район,с.Владична (Шировецька сільрада),7325089202,UA73040110020084094
Львівська область,Дрогобицький район,с.Грушів,4621282401,UA46020050060090876
Волинська область,Ківерцівський район,с.Знамирівка (Холоневичівська сільрада),0721855704,UA07080290070027243
Львівська область,Жовківський район,с.Великі Грибовичі,4622782301,UA46060250060064618
Львівська область,Радехівський район,смт Лопатин,4623955400,UA46120070010059603
Сумська область,Шосткинський район,с.Клишки,5925383001,UA59100170160057495
Волинська область,Рожищенський район,с.Кияж (Доросинівська сільрада),0724581903,UA07080090070075949
Дніпропетровська область,Апостолівський район,м.Зеленодольськ,1220310300,UA12060130010067974
Львівська область,Миколаївський район,с.Березина,4623080601,UA46100150040013910
Харківська область,Сахновщинський район,с.Багата Чернещина,6324881001,UA63060090040036061
Кіровоградська область,Долинський район,м.Долинська,3521910100,UA35040110010034377
Київська область,Таращанський район,м.Тараща,3224410100,UA32020190010060417
Херсонська область,Чаплинський район,с-ще Питомник (смт Асканія-Нова),6525455307,UA65060010090020540
Запорізька область,Василівський район,м.Василівка,2320910100,UA23040030010016724
Рівненська область,Здолбунівський район,с.Буща,5622681201,UA56060410060040625
Чернігівська область,Ічнянський район,с.Новий Поділ (Крупичпільська сільрада),7421710135,UA74080030360026445
Київська область,Тетіївський район,с.Стадниця,3224610114,UA32020210260039912
Івано-Франківська область,Коломийський район,с.Раківчик,2623286001,UA26080070080022254
Черкаська область,Черкаський район,с.Хутори (Хутірська сільрада),7124989004,UA71080470040090735
Тернопільська область,Козівський район,с.Городище,6123082401,UA61040230130069718
Тернопільська область,Борщівський район,м.Борщів,6120810100,UA61060050010030430
Миколаївська область,Братський район,с.Григорівка,4821480801,UA48040170050088153
Одеська область,Татарбунарський район,с.Вишневе,5125081201,UA51040030030041759
Івано-Франківська область,Рожнятівський район,с.Креховичі,2624882601,UA26060030040013643
Закарпатська область,Тячівський район,м.Тячів,2124410100,UA21080150010051267
Запорізька область,Токмацький район,с.Новопрокопівка,2325283201,UA23100270090070068
Хмельницька область,Старосинявський район,с.Адампіль,6824455105,UA68040430020042723
Львівська область,Радехівський район,с.Тетевчиці,4623986601,UA46120090380095709
Київська область,Броварський район,с.Тарасівка (Жердовська сільрада),3221255210,UA32060070220015516
Рівненська область,Володимирецький район,с.Озеро,5620887601,UA56020090050099074
Херсонська область,Генічеський район,с.Фрунзе,6522187001,UA65040010040011142
Луганська область,Міловський район,смт Мілове,4422855100,UA44140070010019293
Донецька область,Красноармійський район,с.Миролюбівка,1422783001,UA14160050190065859
Київська область,Бориспільський район,с.Щасливе,3220888001,UA32040130010022833
Кіровоградська область,Маловисківський район,с.Мануйлівка,3523183201,UA35060090070010055
Івано-Франківська область,Тисменицький район,с.Слобідка,2625885401,UA26040330140063352
Донецька область,м.Маріуполь,смт Старий Крим,1412345600,UA14140050020046281
Закарпатська область,Виноградівський район,с.Боржавське,2121280301,UA21020110020052532
Сумська область,Буринський район,с.Червона Слобода,5920910120,UA59020030420025819
Тернопільська область,Тернопільський район,с.Біла (Білецька сільрада),6125280701,UA61040050010054651
Київська область,Обухівський район,с.Германівка,3223184601,UA32120110030025634
Хмельницька область,Теофіпольський район,с.Гаврилівка,6824781501,UA68040450120091093
Львівська область,Пустомитівський район,с.Лисиничі,4623683801,UA46060250130067842
Житомирська область,Андрушівський район,м.Андрушівка,1820310100,UA18020010010097402
Тернопільська область,Чортківський район,с.Росохач,6110390006,UA61060430070088102
Дніпропетровська область,Новомосковський район,смт Губиниха,1223255600,UA12100010010056420
Хмельницька область,Дунаєвецький район,с.Сокілець,6821810143,UA68020050440097789
Тернопільська область,Зборівський район,с.Перепельники,6122687801,UA61040170370085193
Сумська область,Липоводолинський район,с.Чирвине (Калінінська сільрада),5923281709,UA59060070360045252
Чернігівська область,Новгород-Сіверський район,с.Красне (Орлівська сільрада),7423687803,UA74060030660085368
Тернопільська область,Зборівський район,смт Залізці,6122655300,UA61040130010050614
Чернігівська область,Ніжинський район,с.Крути,7423385201,UA74040170010020642
Полтавська область,Новосанжарський район,с.Соколова Балка,5323486001,UA53080290090035900
Івано-Франківська область,Калуський район,с.Перевозець,2622855306,UA26060110100061296
Харківська область,Первомайський район,с.Одрадове,6324586001,UA63100070160082860
Запорізька область,Оріхівський район,с.Мала Токмачка (Малотокмачанська сільрада),2323982501,UA23100130010093963
Сумська область,Недригайлівський район,смт Недригайлів,5923555100,UA59060090010092203
Кіровоградська область,Маловисківський район,с.Мар'янівка,3523183601,UA35060110070081141
Вінницька область,Ямпільський район,с.Велика Кісниця,0525681301,UA05080110050056014
Вінницька область,Іллінецький район,с.Красненьке,0521210109,UA05020090130055975
Івано-Франківська область,м.Болехів,с.Міжріччя,2610291401,UA26060010070093416
Львівська область,м.Червоноград,м.Соснівка,4624810200,UA46120130020045105
Київська область,Макарівський район,с.Лишня,3222784201,UA32140010070052091
Вінницька область,Іллінецький район,с.Чортория (Городоцька сільрада),0521281609,UA05040050190032800
Черкаська область,Звенигородський район,с.Тарасівка,7121289206,UA71020310060044534
Тернопільська область,Борщівський район,с.Михайлівка (Кудринецька сільрада),6120855413,UA61060290150059643
Закарпатська область,Мукачівський район,с.Куштановиця (Верхньокоропецька сільрада),2122781607,UA21040030070065609
Дніпропетровська область,Магдалинівський район,с.Першотравенка,1222385801,UA12100050250041948
Житомирська область,Любарський район,с.Бичева (Бичівська сільрада),1823155103,UA18040290040036619
Херсонська область,Херсонська область,м.Каховка,6510400000,UA65060110010021041
Закарпатська область,Іршавський район,с.Ільниця,2121984501,UA21120130090077969
Харківська область,Кегичівський район,с.Улянівка (смт Чапаєве),6323155605,UA63060030290091585
Житомирська область,Баранівський район,смт Полянка,1820610101,UA18080010030062751
Тернопільська область,Бучацький район,с.Пишківці,6121282002,UA61060390060041860
Сумська область,Сумський район,с.Токарі,5924780903,UA59080010030055314
Львівська область,Кам'янка-Бузький район,с.Рокети (Стародобротвірська сільрада),4622185919,UA46120050140068438
Івано-Франківська область,Рожнятівський район,с.Закерничне (смт Перегінське),2624855802,UA26060210030086805
Донецька область,м.Краматорськ,смт Ясногірка,1412947700,UA14120090100059300
Волинська область,Ковельський район,с.Радошин,0722155319,UA07060070200043833
Рівненська область,Млинівський район,смт Млинів,5623855100,UA56040190010053186
Житомирська область,Лугинський район,с.Липники,1822883201,UA18060110250082019
Дніпропетровська область,Межівський район,с.Веселе,1222655101,UA12140150050098929
Дніпропетровська область,Межівський район,с.Веселе,1222655112,UA12140150060060336
Івано-Франківська область,Коломийський район,с.Старий Гвіздець,2623286701,UA26080010060025530
Одеська область,Овідіопольський район,смт Овідіополь,5123755100,UA51100250010074682
Закарпатська область,Ужгородський район,с.Велика Добронь,2124880901,UA21100050010029116
Київська область,Володарський район,с.Березна,3221680801,UA32020030020064137
Вінницька область,Шаргородський район,с.Мурафа,0525381801,UA05060090010019738
Дніпропетровська область,Нікопольський район,с.Олексіївка (Менжинська сільрада),1222983903,UA12080110070087347
Чернігівська область,Семенівський район,с.Довжик (Жадівська сільрада),7424781504,UA74060070130027604
Львівська область,Сколівський район,смт Славсько,4624555700,UA46100210010024884
Львівська область,Самбірський район,с.Вільшаник,4624286301,UA46080090040028530
Черкаська область,Золотоніський район,с.Ковтуни,7121585801,UA71040150080010528
Одеська область,Тарутинський район,с.Підгірне,5124786406,UA51060050280080425
Одеська область,Тарутинський район,с.Підгірне,5124787601,UA51060170120021493
Рівненська область,Радивилівський район,с.Бугаївка,5625881601,UA56040290070074631
Харківська область,Чугуївський район,смт Чкаловське,6325456700,UA63140150010051841
Чернівецька область,Сторожинецький район,смт Красноїльськ,7324555400,UA73060330010012519
Херсонська область,м.Херсон,смт Комишани,6510166400,UA65100150040069463
Волинська область,Ковельський район,с.Гулівка (Поворська сільрада),0722187402,UA07060290030070859
Чернігівська область,Коропський район,смт Понорниця,7422255500,UA74060050010088781
Закарпатська область,Мукачівський район,с.Горонда,2122781801,UA21040070010034667
Івано-Франківська область,Рожнятівський район,с.Красне,2624882401,UA26060210040050479
Хмельницька область,Волочиський район,с.Попівці (Поповецька сільрада),6820986201,UA68040090370094432
Житомирська область,Житомирський район,смт Озерне,1822055900,UA18040350030097353
Полтавська область,Глобинський район,с.Великі Кринки,5320684601,UA53020010070012778
Сумська область,Путивльський район,м.Путивль,5923810100,UA59020150010023159
Харківська область,Валківський район,с.Очеретове (Сидоренківська сільрада),6321287005,UA63020030650091134
Івано-Франківська область,Галицький район,с.Комарів,2621284201,UA26040090120037132
Львівська область,Пустомитівський район,с.Оброшине,4623684901,UA46060310010080287
Черкаська область,Шполянський район,с.Васильків,7125781201,UA71020330030048216
Тернопільська область,Кременецький район,с.Волиця (Великогорянська сільрада),6123484404,UA61020110040071932
Кіровоградська область,Новгородківський район,смт Новгородка,3523455100,UA35040230010012861
Чернігівська область,Сосницький район,с.Спаське,7424987001,UA74020070350046205
Чернівецька область,Хотинський район,с.Перебиківці,7325086401,UA73040050080089036
Рівненська область,Рокитнівський район,с.Купель (Біловізька сільрада),5625080402,UA56080150140035717
Рівненська область,Зарічненський район,с.Вичівка,5622280701,UA56020070060088177
Одеська область,Савранський район,с.Осички,5124382801,UA51120210160079792
Волинська область,Локачинський район,с.Шельвів,0722482419,UA07020030250084782
Полтавська область,Миргородський район,с.Попівка,5323286001,UA53060150240052216
Харківська область,Балаклійський район,с.Вербівка,6320281601,UA63040010070080766
Закарпатська область,Міжгірський район,с.Новоселиця,2122484801,UA21120190120086925
Донецька область,Першотравневий район,с.Стародубівка,1423986601,UA14140030140023070
Хмельницька область,Старокостянтинівський район,с.Григорівка,6824282301,UA68040390160065898
Хмельницька область,Ізяславський район,с.Шекеринці,6822188701,UA68060190230026925
Івано-Франківська область,Тисменицький район,с.Пшеничники,2625884501,UA26040330120054242
Тернопільська область,Заліщицький район,с.Солоне,6122055506,UA61060370220011378
Рівненська область,Зарічненський район,с.Дібрівськ,5622281001,UA56020070090097675
Одеська область,Комінтернівський район,с.Кошари (Сичавська сільрада),5122785802,UA51100410060029966
Полтавська область,Чутівський район,с.Новофедорівка (смт Чутове),5325455107,UA53080450180062760
Чернігівська область,Носівський район,с.Макіївка,7423883001,UA74040210010080829
Тернопільська область,Тернопільський район,с.Підгородне,6125286901,UA61040390010054105
Житомирська область,Брусилівський район,с.Нові Озеряни (Новоозерянська сільрада),1820955117,UA18040050210089802
