eoname,schoolname
Тисменицька спеціалізована школа І-ІІІ ступенів з поглибленим вивченням окремих предметів Тисменицької районної ради Івано-Франківської області,Тисменицька спеціалізована школа І-ІІІ ступенів з поглибленим вивченням окремих предметів Тисменицької районної ради Івано-Франківської області
Гутівський навчально-виховний комплекс Богородчанської районної ради Івано-Франківської області,Гутівський навчально-виховний комплекс Богородчанської районної ради Івано-Франківської області
Калуський ліцей № 2 Калуської міської ради Івано-Франківської області,Калуський ліцей № 2 Калуської міської ради Івано-Франківської області
Заболотівський ліцей Заболотівської селищної ради об'єднаної територіальної громади Снятинського району Івано-Франківської області,Заболотівський ліцей Заболотівської селищної ради об'єднаної територіальної громади Снятинського району Івано-Франківської області
Коломийський ліцей №4 імені Сергія Лисенка Коломийської міської ради Івано-Франківської області,Коломийський ліцей №4 імені Сергія Лисенка Коломийської міської ради Івано-Франківської області
Калуська загальноосвітня школа І-ІІІ ступенів №1 Калуської міської ради Івано-Франківської області,Калуська загальноосвітня школа І-ІІІ ступенів №1 Калуської міської ради Івано-Франківської області
Білоберізький ліцей Білоберізької сільської ради об'єднаної територіальної громади Верховинського району Івано-Франківської області (опорний заклад),Білоберізький ліцей Білоберізької сільської ради об'єднаної територіальної громади Верховинського району Івано-Франківської області (опорний заклад)
Воронський ліцей Коломийської районної ради Івано-Франківської області,Воронський ліцей Коломийської районної ради Івано-Франківської області
Красноїльська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області,Красноїльська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області
Калуський ліцей №10 Калуської міської ради Івано-Франківської області,Калуський ліцей №10 Калуської міської ради Івано-Франківської області
Перегінська загальноосвітня школа І-ІІІ ступенів №1 Рожнятівської районної ради Івано-Франківської області,Перегінська загальноосвітня школа І-ІІІ ступенів №1 Рожнятівської районної ради Івано-Франківської області
Косівський ліцей імені Ігоря Пелипейка Косівської районної ради Івано-Франківської області,Косівський ліцей імені Ігоря Пелипейка Косівської районної ради Івано-Франківської області
Космацька загальноосвітня школа І-ІІІ ступенів Космацької сільської ради об'єднаної територіальної громади Косівського району Івано-Франківської області,Космацька загальноосвітня школа І-ІІІ ступенів Космацької сільської ради об'єднаної територіальної громади Косівського району Івано-Франківської області
Порогівська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області,Порогівська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області
Замагорівська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області,Замагорівська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області
Рожнятівська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області,Рожнятівська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області
Галицький ліцей імені Ярослава Осмомисла Галицької районної ради Івано-Франківської області,Галицький ліцей імені Ярослава Осмомисла Галицької районної ради Івано-Франківської області
Яремчанська загальноосвітня школа І-ІІІ ступенів №1 Яремчанської міської ради Івано-Франківської області,Яремчанська загальноосвітня школа І-ІІІ ступенів №1 Яремчанської міської ради Івано-Франківської області
Ліцей №4 Івано-Франківської міської ради,Ліцей №4 Івано-Франківської міської ради
Пістинський ліцей Косівської районної ради Івано-Франківської області,Пістинський ліцей Косівської районної ради Івано-Франківської області
Сваричівська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області,Сваричівська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області
Старолисецька загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області,Старолисецька загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області
Ліцей №24 Івано-Франківської міської ради,Ліцей №24 Івано-Франківської міської ради
Ліцей імені В'ячеслава Чорновола Івано-Франківської міської ради Івано-Франківської області,Ліцей імені В'ячеслава Чорновола Івано-Франківської міської ради Івано-Франківської області
Ліцей №23 імені Романа Гурика Івано-Франківської міської ради Івано-Франківської області,Ліцей №23 імені Романа Гурика Івано-Франківської міської ради Івано-Франківської області
Ворохтянська загальноосвітня школа І-ІІІ ступенів Яремчанської міської ради Івано-Франківської області,Ворохтянська загальноосвітня школа І-ІІІ ступенів Яремчанської міської ради Івано-Франківської області
Красненська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області,Красненська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області
Королівська загальноосвітня школа І-ІІІ ступенів Тлумацької міської ради об'єднаної територіальної громади Тлумацького району Івано-Франківської області,Королівська загальноосвітня школа І-ІІІ ступенів Тлумацької міської ради об'єднаної територіальної громади Тлумацького району Івано-Франківської області
Бурштинська загальноосвітня школа І-ІІІ ступенів №3 Бурштинської міської ради Івано-Франківської області,Бурштинська загальноосвітня школа І-ІІІ ступенів №3 Бурштинської міської ради Івано-Франківської області
Солуківський ліцей Долинської міської ради Івано-Франківської області,Солуківський ліцей Долинської міської ради Івано-Франківської області
Старомізунський ліцей імені Василя Верховинця Вигодської селищної ради,Старомізунський ліцей імені Василя Верховинця Вигодської селищної ради
Коломийський ліцей №8 Коломийської міської ради Івано-Франківської області,Коломийський ліцей №8 Коломийської міської ради Івано-Франківської області
Крилоська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області,Крилоська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області
Чорнопотоківський ліцей Делятинської селищної ради об'єднаної територіальної громади,Чорнопотоківський ліцей Делятинської селищної ради об'єднаної територіальної громади
Торговицький ліцей Коломийської районної ради Івано-Франківської області,Торговицький ліцей Коломийської районної ради Івано-Франківської області
Снятинський ліцей імені Антона Лотоцького Снятинської районної ради Івано-Франківської області,Снятинський ліцей імені Антона Лотоцького Снятинської районної ради Івано-Франківської області
Небилівська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області,Небилівська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області
Ліцей №3 Івано-Франківської міської ради,Ліцей №3 Івано-Франківської міської ради
Долішньозалучанський ліцей імені Яреми Гояна Снятинської районної ради Івано-Франківської області,Долішньозалучанський ліцей імені Яреми Гояна Снятинської районної ради Івано-Франківської області
Замулинецький ліцей Матеївецької сільської ради об'єднаної територіальної громади Івано-Франківської області,Замулинецький ліцей Матеївецької сільської ради об'єднаної територіальної громади Івано-Франківської області
Коломийський ліцей №9 Коломийської міської ради Івано-Франківської області,Коломийський ліцей №9 Коломийської міської ради Івано-Франківської області
Княженський ліцей Снятинської районної ради Івано-Франківської області,Княженський ліцей Снятинської районної ради Івано-Франківської області
Підвисоцький ліцей Снятинської районної ради Івано-Франківської області,Підвисоцький ліцей Снятинської районної ради Івано-Франківської області
Деліївська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області,Деліївська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області
Тустанська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області,Тустанська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області
Липівська загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області,Липівська загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області
Калуська загальноосвітня школа І-ІІІ ступенів №3 Калуської міської ради Івано-Франківської області,Калуська загальноосвітня школа І-ІІІ ступенів №3 Калуської міської ради Івано-Франківської області
Чернятинська загальноосвітня школа І-ІІІ ступенів Городенківської районної ради Івано-Франківської області,Чернятинська загальноосвітня школа І-ІІІ ступенів Городенківської районної ради Івано-Франківської області
Калуська загальноосвітня школа І-ІІІ ступенів №4 Калуської міської ради Івано-Франківської області,Калуська загальноосвітня школа І-ІІІ ступенів №4 Калуської міської ради Івано-Франківської області
Попельниківський ліцей Снятинської районної ради Івано-Франківської області,Попельниківський ліцей Снятинської районної ради Івано-Франківської області
Черченський ліцей імені братів Лепких Рогатинської районної ради Івано-Франківської області,Черченський ліцей імені братів Лепких Рогатинської районної ради Івано-Франківської області
Долинський ліцей №1 Долинської міської ради Івано-Франківської області,Долинський ліцей №1 Долинської міської ради Івано-Франківської області
Ліцей №6 ім. Івана Ревчука Івано-Франківської міської ради,Ліцей №6 ім. Івана Ревчука Івано-Франківської міської ради
Тлумацька гімназія Тлумацької міської ради об'єднаної територіальної громади Тлумацького району Івано-Франківської області,Тлумацька гімназія Тлумацької міської ради об'єднаної територіальної громади Тлумацького району Івано-Франківської області
Товмачицький ліцей Коломийської міської ради Івано-Франківської області,Товмачицький ліцей Коломийської міської ради Івано-Франківської області
Старобогородчанський ліцей Старобогородчанської сільської ради об'єднаної територіальної громади Богородчанського району Івано-Франківської області,Старобогородчанський ліцей Старобогородчанської сільської ради об'єднаної територіальної громади Богородчанського району Івано-Франківської області
Косівський ліцей №2 імені Михайла Павлика Косівської районної ради Івано-Франківської області,Косівський ліцей №2 імені Михайла Павлика Косівської районної ради Івано-Франківської області
Брустурівська загальноосвітня школа І-ІІІ ступенів Космацької сільської ради об'єднаної територіальної громади Косівського району Івано-Франківської області,Брустурівська загальноосвітня школа І-ІІІ ступенів Космацької сільської ради об'єднаної територіальної громади Косівського району Івано-Франківської області
Загвіздянський ліцей Загвіздянської сільської ради об'єднаної територіальної громади Тисменицького району Івано-Франківської області,Загвіздянський ліцей Загвіздянської сільської ради об'єднаної територіальної громади Тисменицького району Івано-Франківської області
"Снятинський ліцей ""Інтелект"" Снятинської районної ради Івано-Франківської області","Снятинський ліцей ""Інтелект"" Снятинської районної ради Івано-Франківської області"
Іваниківська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області,Іваниківська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області
Гаврилівський ліцей Переріслянської сільської ради об'єднаної територіальної громади,Гаврилівський ліцей Переріслянської сільської ради об'єднаної територіальної громади
Павлівський ліцей Ямницької сільської ради об'єднаної територіальної громади Івано-Франківської області,Павлівський ліцей Ямницької сільської ради об'єднаної територіальної громади Івано-Франківської області
Саджавська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області,Саджавська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області
Устянський ліцей імені Євгена Грицяка Снятинської районної ради Івано-Франківської області,Устянський ліцей імені Євгена Грицяка Снятинської районної ради Івано-Франківської області
Бурштинська загальноосвітня школа І-ІІІ ступенів №1 Бурштинської міської ради Івано-Франківської області,Бурштинська загальноосвітня школа І-ІІІ ступенів №1 Бурштинської міської ради Івано-Франківської області
"Галицький ліцей ""Академічний"" Галицької районної ради Івано-Франківської області","Галицький ліцей ""Академічний"" Галицької районної ради Івано-Франківської області"
Ліснохлібичинський ліцей Коломийської районної ради Івано-Франківської області,Ліснохлібичинський ліцей Коломийської районної ради Івано-Франківської області
Нижньовербізький ліцей Нижньовербізької сільської ради об'єднаної територіальної громади Івано-Франківської області,Нижньовербізький ліцей Нижньовербізької сільської ради об'єднаної територіальної громади Івано-Франківської області
Яремчанська загальноосвітня школа І-ІІІ ступенів №2 Яремчанської міської ради Івано-Франківської області,Яремчанська загальноосвітня школа І-ІІІ ступенів №2 Яремчанської міської ради Івано-Франківської області
Вовчківський ліцей імені Василя Равлюка Снятинської районної ради Івано-Франківської області,Вовчківський ліцей імені Василя Равлюка Снятинської районної ради Івано-Франківської області
Коломийський ліцей №3 Коломийської міської ради Івано-Франківської області,Коломийський ліцей №3 Коломийської міської ради Івано-Франківської області
Саджавський ліцей Коломийської міської ради Івано-Франківської області,Саджавський ліцей Коломийської міської ради Івано-Франківської області
Підмихайлівський ліцей Новицької сільської ради об'єднаної територіальної громади Калуського району Івано-Франківської області,Підмихайлівський ліцей Новицької сільської ради об'єднаної територіальної громади Калуського району Івано-Франківської області
Горохолинська загальноосвітня школа І-ІІІ ступенів імені Романа Кияка Богородчанської районної ради Івано-Франківської області,Горохолинська загальноосвітня школа І-ІІІ ступенів імені Романа Кияка Богородчанської районної ради Івано-Франківської області
Блюдниківська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області,Блюдниківська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області
Добровлянський ліцей Новицької сільської ради об'єднаної територіальної громади Калуського району Івано-Франківської області,Добровлянський ліцей Новицької сільської ради об'єднаної територіальної громади Калуського району Івано-Франківської області
Довговойнилівський ліцей Верхнянської сільської ради об'єднаної територіальної громади Калуського району Івано-Франківської області,Довговойнилівський ліцей Верхнянської сільської ради об'єднаної територіальної громади Калуського району Івано-Франківської області
Надіївська загальноосвітня школа I-III ступенів Долинської районної ради Івано-Франківської області,Надіївська загальноосвітня школа I-III ступенів Долинської районної ради Івано-Франківської області
Снятинський ліцей імені Михайла Бажанського Снятинської районної ради Івано-Франківської області,Снятинський ліцей імені Михайла Бажанського Снятинської районної ради Івано-Франківської області
Ільцівська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області,Ільцівська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області
Волосівський ліцей Переріслянської сільської ради об'єднаної територіальної громади,Волосівський ліцей Переріслянської сільської ради об'єднаної територіальної громади
Уторопський ліцей Яблунівської селищної ради об'єднаної територіальної громади Косівського району Івано-Франківської області,Уторопський ліцей Яблунівської селищної ради об'єднаної територіальної громади Косівського району Івано-Франківської області
Річківський ліцей Косівської районної ради Івано-Франківської області,Річківський ліцей Косівської районної ради Івано-Франківської області
Прутівський ліцей імені Володимира Самійленка Снятинської районної ради Івано-Франківської області,Прутівський ліцей імені Володимира Самійленка Снятинської районної ради Івано-Франківської області
Раківчицький ліцей Коломийської районної ради Івано-Франківської області,Раківчицький ліцей Коломийської районної ради Івано-Франківської області
Верхньоясенівська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області,Верхньоясенівська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області
Комарівський ліцей імені Антіна Могильницького Галицької районної ради Івано-Франківської області,Комарівський ліцей імені Антіна Могильницького Галицької районної ради Івано-Франківської області
Клубовецька загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області,Клубовецька загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області
Ямницький ліцей Ямницької сільської ради об'єднаної територіальної громади Івано-Франківської області,Ямницький ліцей Ямницької сільської ради об'єднаної територіальної громади Івано-Франківської області
Чорнолізька загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області,Чорнолізька загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області
Дубовецька загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області,Дубовецька загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області
Заклад загальної середньої освіти І-ІІІ ступенів смт Цумань Цуманської селищної ради Волинської області,Заклад загальної середньої освіти І-ІІІ ступенів смт Цумань Цуманської селищної ради Волинської області
Олеська загальноосвітня школа І-ІІІ ступенів,Олеська загальноосвітня школа І-ІІІ ступенів
Луцька спеціалізована школа І-ІІІ ступенів №1 Луцької міської ради Волинської області,Луцька спеціалізована школа І-ІІІ ступенів №1 Луцької міської ради Волинської області
"ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ І-ІІІ ступенів ""ЛЮБИТІВСЬКИЙ ЛІЦЕЙ ІМЕНІ ЛЕСІ УКРАЇНКИ"" Ковельської районної ради Ковельського району Волинської області","ЗАКЛАД ЗАГАЛЬНОЇ СЕРЕДНЬОЇ ОСВІТИ І-ІІІ ступенів ""ЛЮБИТІВСЬКИЙ ЛІЦЕЙ ІМЕНІ ЛЕСІ УКРАЇНКИ"" Ковельської районної ради Ковельського району Волинської області"
"Комунальний заклад ""Луцька гімназія №18 Луцької міської ради Волинської області""","Комунальний заклад ""Луцька гімназія №18 Луцької міської ради Волинської області"""
"Комунальний заклад ""Луцька гімназія №4 імені Модеста Левицького Луцької міської ради Волинської області""","Комунальний заклад ""Луцька гімназія №4 імені Модеста Левицького Луцької міської ради Волинської області"""
