KATOTTG_2023,KOATUU_2020,category,name,english name
UA01020310080015829,8536390717,village,Підгірне,
UA01020310090018188,8536390719,village,Резервне,
UA01020310100043613,8536390721,village,Родниківське,
UA01020310110010004,8536390723,village,Розсошанка,
UA01020310120097167,8536390725,village,Тилове,
UA01020310130018566,8536390707,village,Узунджи,
UA01020310140094275,8536390727,village,Широке,Shyroke
UA01020330000026857,0120484400,hromada,Піщанівська ,
UA01020330010077491,0120484401,village,Піщане,
UA01020330020049762,0120484402,village,Берегове,Berehove
UA01020350000012924,0120484600,hromada,Плодівська ,
UA01020350010083152,0120484601,village,Плодове,
UA01020350020055481,0120484602,village,Брянське,
UA01020350030066553,0120484603,village,Гірка,
UA01020350040061533,0120484604,village,Дібрівка,
UA01020350050012107,0120484605,village,Дорожнє,
UA01020370000098913,0120455600,hromada,Поштівська ,
UA01020370010082919,0120455600,urban village,Поштове,
UA01020370020017519,0120455601,village,Завітне,
UA01020370030073511,0120455602,village,Зубакіне,
UA01020370040066972,0120455603,village,Казанки,
UA01020370050048874,0120455604,village,Малинівка,
UA01020370060014747,0120455605,village,Нововасилівка,
UA01020370070047245,0120455606,village,Новопавлівка,
UA01020370080064174,0120455607,village,Приятне Свідання,
UA01020370090059007,0120455608,village,Ростуче,
UA01020370100079082,0120455609,village,Самохвалове,
UA01020370110050872,0120455610,village,Севастянівка,
UA01020370120034950,0120455612,village,Тополі,
UA01020370130021249,0120455611,settlement,Стальне,
UA01020390000023946,0120485000,hromada,Скалистівська ,
UA01020390010087353,0120485001,village,Скалисте,
UA01020390020089381,0120485002,village,Глибокий Яр,
UA01020390030068062,0120485003,village,Прохладне,
UA01020390040022064,0120485004,village,Трудолюбівка,
UA01020410000012183,0120485500,hromada,Табачненська ,
UA01020410010079227,0120485501,village,Табачне,
UA01020430000077222,8536391500,hromada,Тернівська ,
UA01020430010015851,8536391501,village,Тернівка,
UA01020430020041589,8536391503,village,Рідне,
UA01020450000039196,0120486200,hromada,Тінистівська ,
UA01020450010047517,0120486201,village,Тінисте,
UA01020450020080220,0120486202,village,Айвове,
UA01020450030044282,0120486203,village,Красна Зоря,
UA01020450040029353,0120486204,village,Некрасовка,
UA01020450050043908,0120486205,village,Суворове,
UA01020470000045027,0120488400,hromada,Углівська ,
UA01020470010027281,0120488401,village,Углове,
UA01040000000069938,0120700000,district,Білогірський,Bilohirskyi
UA01040010000012643,0120780400,hromada,Ароматнівська ,
UA01040010010075410,0120780401,village,Ароматне,
UA01040010020047319,0120780402,village,Красногірське,
UA01040010030032536,0120780403,village,Курортне,
UA01040030000094499,0120780800,hromada,Багатівська ,
UA01040030010054698,0120780801,village,Багате,
UA01040030020054426,0120780802,village,Горлинка,
UA01040030030079308,0120780803,village,Красна Слобода,
UA01040030040031736,0120780804,village,Мелехове,
UA01040030050078807,0120780805,village,Поворотне,
UA01040030060066182,0120780806,village,Руське,
UA01040030070095548,0120780807,village,Черемисівка,
UA01040050000043618,0120710100,hromada,Білогірська ,
UA01040050010076142,0120710100,city,Білогірськ,Bilohirsk
UA01040070000067477,0120781300,hromada,Василівська ,
UA01040070010033033,0120781301,village,Василівка,Vasylivka
UA01040070020055528,0120781303,village,Малинівка,
UA01040070030047836,0120781304,village,Некрасове,
UA01040070040034784,0120781305,village,Павлівка,
UA01040070050033996,0120781306,village,Пролом,
UA01040070060012593,0120781307,village,Сєверне,
UA01040090000079381,0120781900,hromada,Вишенська ,
UA01040090010029666,0120781901,village,Вишенне,
UA01040090020073644,0120781902,village,Біла Скеля,
UA01040090030082750,0120781903,village,Миронівка,Myronivka
UA01040110000030475,0123180600,hromada,Дрофинська ,
UA01040110010070703,0123180601,village,Дрофине,
UA01040110020039966,0123180602,village,Стрепетове,
UA01040110030087754,0123180603,village,Яструбки,
UA01040130000027316,0123181200,hromada,Желябовська ,
UA01040130010024144,0123181201,village,Желябовка,
UA01040130020098833,0123181202,village,Ломоносове,
UA01040150000027533,0123181500,hromada,Жемчужинська ,
UA01040150010012456,0123181501,village,Жемчужина,
UA01040150020053669,0123181502,village,Піни,
UA01040150030055513,0123181503,village,Прирічне,
UA01040170000015760,0120782500,hromada,Зеленогірська ,
UA01040170010099030,0120782501,village,Зеленогірське,
UA01040170020016040,0120782502,village,Балки,
UA01040170030074437,0120782503,village,Міжгір’я,Mizhhiria
UA01040170040064672,0120782505,village,Новогригорівка,
UA01040170050072173,0120782506,village,Новокленове,
UA01040170060032396,0120782507,village,Овражки,
UA01040170070071644,0120782508,village,Олександрівка,Oleksandrivka
UA01040170080017987,0120782509,village,Пасічне,
UA01040170090038370,0120782510,village,Пчолине,
UA01040170100036591,0120782511,village,Яковлівка,
UA01040190000020544,0120782700,hromada,Земляничненська ,
UA01040190010097055,0120782701,village,Земляничне,
UA01040190020016045,0120782702,village,Оленівка,
UA01040190030042848,0120782703,village,Опитне,
UA01040190040040090,0120782704,village,Радісне,
UA01040190050057807,0120782705,village,Родники,
UA01040190060069233,0120782706,village,Синьокам’янка,
UA01040190070073990,0120782707,village,Учебне,
UA01040210000036434,0120782900,hromada,Зибинська ,
UA01040210010038172,0120782901,village,Зибини,
UA01040210020028452,0120782902,village,Мельники,
UA01040230000046436,0123182000,hromada,Зоркінська ,
UA01040230010050895,0123182001,village,Зоркіне,
UA01040230020012738,0123182002,village,Межове,
UA01040230030073687,0123182003,village,Ніжинське,
UA01040230040036450,0123182004,village,Широке,Shyroke
UA01040250000021026,0120755300,hromada,Зуйська ,
UA01040250010020392,0120755300,urban village,Зуя,
UA01040250020020123,0120755301,village,Баланове,
UA01040250030052860,0120755302,village,Барабанове,
UA01040250040026169,0120755303,village,Верхні Орішники,
UA01040250050018337,0120755305,village,Володимирівка,
UA01040250060026796,0120755307,village,Литвиненкове,
UA01040250070076047,0120755308,village,Нижні Орішники,
UA01040250080068374,0120755309,village,Петрове,Petrove
UA01040250090083925,0120755310,village,Українка,
UA01040270000034439,0123182200,hromada,Іванівська ,
UA01040270010068326,0123182201,village,Іванівка,Ivanivka
UA01040270020065106,0123182202,village,Заріччя,
UA01040270030076395,0123182203,village,Тамбовка,
UA01040270040015063,0123182204,village,Тарасівка,
UA01040290000025831,0123182400,hromada,Ізобільненська ,
UA01040290010070254,0123182401,village,Ізобільне,
UA01040310000067033,0123182600,hromada,Кісточківська ,
UA01040310010085584,0123182601,village,Кісточківка,
UA01040310020084187,0123182602,village,Бюйтен,
UA01040330000019963,0120783600,hromada,Кримськорозівська ,
UA01040330010069516,0120783601,village,Кримська Роза,
UA01040330020085307,0120783603,village,Вишневе,
UA01040350000026880,0120783400,hromada,Криничненська ,
UA01040350010047859,0120783401,village,Криничне,
UA01040350020012591,0120783402,village,Алексєєвка,
UA01040350030054188,0120783404,village,Голованівка,
UA01040350040061641,0120783405,village,Карасівка,
UA01040350050029903,0120783406,village,Кирпичне,
UA01040350060024585,0120783407,village,Красноселівка,
UA01040350070019046,0120783409,village,Яблучне,
UA01040370000093220,0120783800,hromada,Курська ,
UA01040370010050684,0120783801,village,Курське,
UA01040370020068344,0120783802,village,Тополівка,
UA01040390000094458,0123182800,hromada,Листвинська ,
UA01040390010019526,0123182801,village,Листвинне,
UA01040390020016319,0123182802,village,Кирсанівка,
UA01040390030093653,0123182803,village,Цвітуще,
UA01040410000039649,0120784200,hromada,Мельнична ,
UA01040410010042512,0120784201,village,Мельничне,
UA01040410020013630,0120784202,village,Бочала,
UA01040430000084830,0123183000,hromada,Митрофанівська ,
UA01040430010029713,0123183001,village,Митрофанівка,
UA01040430020071965,0123183002,village,Буревісник,
UA01040430030022616,0123183003,village,Плодове,
UA01040430040044233,0123183004,village,Розливи,
UA01040430050095299,0123183005,village,Червоне,
UA01040450000033279,0123183400,hromada,Михайлівська ,
UA01040450010068274,0123183401,village,Михайлівка,Mykhailivka
UA01040450020087414,0123183402,village,Кунцеве,
UA01040450030078647,0123183403,village,Уютне,
UA01040470000054380,0120784600,hromada,Мічурінська,
UA01040470010029499,0120784601,village,Мічурінське,
UA01040470020022194,0120784602,village,Лічебне,
UA01040490000050783,0120785000,hromada,Муромська ,
UA01040490010025598,0120785001,village,Муромське,
UA01040490020063961,0120785002,village,Дивне,
UA01040490030029723,0120785003,village,Кривцове,
UA01040490040010927,0120785005,village,Сінне,
UA01040490050091795,0120785006,village,Хлібне,
UA01040510000040948,0123155100,hromada,Нижньогірська ,
UA01040510010040141,0123155100,urban village,Нижньогірський,Nyzhnohirskyi
UA01040510020058162,0123155101,village,Зелене,
UA01040510030083360,0123155102,village,Лінійне,
UA01040530000066139,0123184600,hromada,Новогригорівська ,
UA01040530010077803,0123184601,village,Новогригорівка,
UA01040530020097860,0123184602,village,Владиславівка,
UA01040530030039792,0123184603,village,Корінне,
UA01040550000033125,0120785800,hromada,Новожилівська ,
UA01040550010088649,0120785801,village,Новожилівка,
UA01040550020032608,0120785802,village,Аннівка,
UA01040550030042514,0120785803,village,Новоолександрівка,
UA01040550040026027,0120785804,village,Тургенєве,
UA01040570000042023,0123180800,hromada,Омелянівська ,
UA01040570010042704,0123180801,village,Омелянівка,
UA01040590000047581,0123185000,hromada,Охотська ,
UA01040590010014367,0123185001,village,Охотське,
UA01040590020067580,0123185002,village,Родники,
UA01040610000061821,0123185200,hromada,Пшеничненська ,
UA01040610010096964,0123185201,village,Пшеничне,
UA01040610020030655,0123185202,village,Дворове,
UA01040610030035427,0123185203,village,Любимівка,
UA01040610040082484,0123185204,village,Слив’янка,
UA01040630000018582,0120786300,hromada,Русаківська ,
UA01040630010035977,0120786301,village,Русаківка,
UA01040630020089356,0120786302,village,Лугове,
UA01040650000030704,0123186100,hromada,Садова ,
UA01040650010024745,0123186101,village,Садове,
UA01040650020023276,0123186102,village,Кукурудзяне,
UA01040650030083387,0123186103,village,Сєрове,
UA01040670000061265,0123187200,hromada,Уварівська ,
UA01040670010062727,0123187201,village,Уварівка,
UA01040670020074869,0123187202,village,Новоіванівка,
UA01040670030050869,0123187203,village,Сім’яне,
UA01040690000074143,0120788400,hromada,Цвіточненська ,
UA01040690010075069,0120788401,village,Цвіточне,
UA01040690020016998,0120788402,village,Долинівка,
UA01040710000052728,0123187400,hromada,Чкаловська ,
UA01040710010035681,0123187401,village,Чкалове,
UA01040710020071658,0123187402,village,Великосілля,
UA01040710030081339,0123187403,village,Заливне,
UA01040710040054533,0123187404,village,Коврове,
UA01040710050067164,0123187405,village,Лугове,
UA01040710060072205,0123187406,village,Степанівка,
UA01040730000084787,0120788800,hromada,Чорнопільська ,
UA01040730010039853,0120788801,village,Чорнопілля,
UA01040730020037154,0120788802,village,Дозорне,
UA01040730030063814,0120788803,village,Кизилівка,
UA01040730040030160,0120788804,village,Султан-Сарай,
UA01040750000059611,0123180400,hromada,Якимівська ,
UA01040750010015899,0123180401,village,Якимівка,Yakymivka
UA01040750020047552,0123180402,village,Дворіччя,
UA01040750030056459,0123180403,village,Лужки,
UA01060000000028159,0121100000,district,Джанкойський,Dzhankoiskyi
UA01060010000036566,0121155200,hromada,Азовська ,
UA01060010010090682,0121155200,urban village,Азовське,
UA01060030000038531,0121155400,hromada,Вільненська ,
UA01060030010037486,0121155400,urban village,Вільне,
UA01060050000010421,0110600000,hromada,Джанкойська ,
UA01060050010078305,0110600000,city,Джанкой,Dzhankoi
UA01060070000050618,0121180600,hromada,Єрмаківська ,
UA01060070010079622,0121180601,village,Єрмакове,
UA01060070020020057,0121180602,village,Вітвисте,
UA01060070030055199,0121180603,village,Копані,
UA01060070040077324,0121180605,village,Придорожнє,
UA01060070050062490,0121180606,village,Солоне Озеро,
UA01060070060083016,0121180607,village,Стовпове,
UA01060070070051856,0121180604,village,Тархан-Сунак,
UA01060090000040099,0121180800,hromada,Завіто-Ленінська ,
UA01060090010012913,0121180801,village,Кучук-Алкали,
UA01060090020040554,0121180802,village,Зелений Яр,
UA01060090030020893,0121180803,village,Мартинівка,
UA01060090040090998,0121180804,village,Мілководне,
UA01060090050035872,0121180805,village,Пушкіне,
UA01060090060088166,0121180806,village,Солонцеве,
UA01060110000056995,0121181300,hromada,Зарічненська ,
UA01060110010025642,0121181301,village,Зарічне,Zarichne
UA01060110020054068,0121181302,village,Армійське,
UA01060110030095585,0121181303,village,Болотне,
UA01060110040062805,0121181306,village,Низинне,
UA01060110050080013,0121181307,village,Перепілкине,
UA01060110060044964,0121181308,village,Суміжне,
UA01060110070010109,0121181305,settlement,Митюрине,
UA01060130000083087,0121181500,hromada,Ізумруднівська ,
UA01060130010045779,0121181501,village,Ізумрудне,
UA01060130020057887,0121181502,village,Дмитрівка,
UA01060130030038263,0121181503,village,Калинівка,Kalynivka
UA01060130040012002,0121181504,village,Мічурінівка,
UA01060130050057960,0121181505,village,Новостепове,
UA01060130060096110,0121181506,village,Овочеве,
UA01060150000096126,0121181700,hromada,Кіндратівська ,
UA01060150010027388,0121181701,village,Кіндратове,
UA01060150020068737,0121181704,village,Мішен-Найман,
UA01060150030057302,0121181703,village,Рубинівка,
UA01060150040088519,0121181702,settlement,Дорожнє,
UA01060170000087883,0121181800,hromada,Кримківська ,
UA01060170010033391,0121181801,village,Кримка,
UA01060190000037533,0121181900,hromada,Лобанівська ,
UA01060190010025055,0121181901,village,Лобанове,
UA01060190020063631,0121181903,village,Жилине,
UA01060190030045526,0121181904,village,Мар’їне,
UA01060190040064489,0121181905,village,Орденоносне,
UA01060190050045891,0121181906,settlement,Ясне,
UA01060210000015881,0121182300,hromada,Луганська ,
UA01060210010054267,0121182301,village,Луганське,
UA01060210020070598,0121182305,village,Джадра-Шейх-Елі,
UA01060210030030095,0121182302,village,Ковильне,
UA01060210040086529,0121182303,village,Пробудження,
UA01060210050082911,0121182304,village,Тутове,
UA01060230000090283,0121182500,hromada,Майська ,
UA01060230010081534,0121182501,village,Майське,
UA01060230020019545,0121182505,village,Бай-Кончек,
UA01060230030011132,0121182502,village,Ближнє,
UA01060230040047884,0121182503,village,Житомирське,
UA01060230050014955,0121182506,village,Польове,
UA01060250000010093,0121182900,hromada,Маслівська ,
UA01060250010035790,0121182901,village,Маслове,
UA01060250020088912,0121182903,village,Конурча,
UA01060250030035126,0121182902,village,Орак-Аджи,
UA01060270000057570,0121183400,hromada,Медведівська ,
UA01060270010016642,0121183401,village,Медведівка,
UA01060270020055295,0121183402,village,Передмістне,
UA01060270030024975,0121183403,village,Тургенєве,
UA01060290000012729,0121183600,hromada,Мирнівська ,
UA01060290010093008,0121183601,village,Мирнівка,
UA01060290020059939,0121183602,village,Дніпровка,
UA01060290030056654,0121183603,village,Костянтинівка,Kostiantynivka
UA01060290040096431,0121183604,village,Рисакове,
UA01060290050016030,0121183605,village,Тимофіївка,
UA01060310000070223,0121183800,hromada,Новокримська ,
UA01060310010077633,0121183801,village,Новокримське,
UA01060310020084102,0121183802,village,Істочне,
UA01060310030037516,0121183803,village,Павлівка,
UA01060330000093805,0121184000,hromada,Пахарівська ,
UA01060330010057478,0121184001,village,Пахарівка,
UA01060330020054147,0121184002,village,Випасне,
UA01060350000056233,0121184100,hromada,Побєдненська ,
UA01060350010072722,0121184101,village,Побєдне,
UA01060350020027998,0121184102,village,Нове Життя,
UA01060350030082893,0121184103,village,Тарасівка,
UA01060370000043403,0121184200,hromada,Просторненська ,
UA01060370010062246,0121184201,village,Просторне,
UA01060370020044063,0121184202,village,Антонівка,
UA01060370030050272,0121184203,village,Апрелівка,
UA01060370040017640,0121184205,village,Бородіно,
UA01060370050059566,0121184207,village,Нижні Отрожки,
UA01060370060019643,0121184208,village,Слов’янське,
UA01060370070099918,0121184209,village,Стефанівка,
UA01060390000046603,0121185500,hromada,Розкішненська ,
UA01060390010064808,0121185501,village,Розкішне,
UA01060390020015060,0121185503,village,Зернове,
UA01060410000094479,0121185600,hromada,Рощинська ,
UA01060410010056869,0121185601,village,Рощине,
UA01060410020048220,0121185602,village,Ближньогородське,
UA01060410030043595,0121185603,village,Краснодольне,
UA01060410040018353,0121185604,village,Озерне,
UA01060410050095410,0121185605,village,Сєрноводське,
UA01060430000047350,0121185800,hromada,Світлівська ,
UA01060430010016957,0121185801,village,Світле,
UA01060430020098298,0121185805,village,Благодатне,
UA01060450000039619,0121186000,hromada,Стальненська ,
UA01060450010038318,0121186001,village,Стальне,
UA01060450020063825,0121186002,village,Многоводне,
UA01060450030042795,0121186003,village,Новокостянтинівка,
UA01060450040092919,0121186004,village,Новопавлівка,
UA01060450050080305,0121186005,village,Новофедорівка,
UA01060450060013660,0121186006,village,Озерки,
UA01060450070071811,0121186007,village,Прозрачне,
UA01060450080046823,0121186008,village,Рідне,
UA01060470000074569,0121186200,hromada,Табачненська ,
UA01060470010070359,0121186201,village,Табачне,
UA01060470020078384,0121186203,village,Новосільцеве,
UA01060470030034624,0121186207,village,Федорівка,
UA01060470040097468,0121186209,village,Хлібне,
UA01060490000025706,0121187200,hromada,Цілинна ,
UA01060490010090976,0121187201,village,Цілинне,
UA01060490020033500,0121187202,village,Колоски,
UA01060490030057741,0121187203,village,Томашівка,
UA01060510000014745,0121187500,hromada,Чайкинська ,
UA01060510010048579,0121187501,village,Чайкине,
UA01060510020099749,0121187503,village,Мисове,
UA01060530000083757,0121188200,hromada,Ярківська ,
UA01060530010049751,0121188201,village,Ярке,
UA01060530020067140,0121188204,village,Яструбці,
UA01060550000035996,0121188400,hromada,Яркополенська ,
UA01060550010089778,0121188401,village,Ярке Поле,
UA01060550020050465,0121188402,village,Арбузівка,
UA01060550030014907,0121188403,village,Веселе,Vesele
UA01060550040014571,0121188404,village,Відрадне,
UA01060550050063361,0121188407,village,Нахідка,
UA01060550060077158,0121188408,village,Слов’янка,
UA01060550070077959,0121188409,village,Тімірязєве,
UA01060550080083879,0121188406,settlement,Дібрівка,
UA01060570000054277,0121188600,hromada,Яснополянська ,
UA01060570010064156,0121188601,village,Яснополянське,
UA01060570020013654,0121188603,village,Рюмшине,
UA01060570030017540,0121188602,settlement,Володине,
UA01080000000090798,new district,district,Євпаторійський,
UA01080010000041994,0124380400,hromada,Вересаєвська ,
UA01080010010068657,0124380401,village,Вересаєве,
UA01080010020079041,0124380402,village,Глінка,
UA01080030000045727,0124380600,hromada,Веселівська ,
UA01080030010045199,0124380601,village,Веселівка,
UA01080030020036700,0124380602,village,Владне,
UA01080030030025413,0124380605,village,Наташине,
UA01080030040028455,0124380604,village,Порфирівка,
UA01080050000096676,0124380801,hromada,Виноградівська,
UA01080050010032744,0124380801,village,Виноградове,
UA01080050020029678,0124380802,village,Вітрівка,
UA01080070000098272,0124381300,hromada,Воробйовська ,
UA01080070010022908,0124381301,village,Воробйове,
UA01080070020073833,0124381303,village,Мамут-Бай,
UA01080070030094770,0124381305,village,Шишкине,
UA01080070040010652,0124381304,village,Яни Кьогенеш,
UA01080090000042257,0124381600,hromada,Геройська ,
UA01080090010045977,0124381601,village,Геройське,
UA01080090020061444,0124381602,village,Ярке,
UA01080110000026158,0125681100,hromada,Далеківська ,
UA01080110010015544,0125681101,village,Далеке,
UA01080110020062537,0125681102,village,Володимирівка,
UA01080110030051313,0125681103,village,Журавлівка,
UA01080110040042627,0125681104,village,Зоряне,
UA01080110050071858,0125681105,village,Сєверне,
UA01080130000045712,0124381800,hromada,Добрушинська ,
UA01080130010047488,0124381801,village,Добрушине,
UA01080130020044600,0124381803,village,Єлизаветове,
UA01080130030077208,0124381804,village,Ізвесткове,
UA01080130040052850,0124381806,village,Солдатське,
UA01080130050074822,0124381807,village,Шалаші,
UA01080150000090077,0110900000,hromada,Євпаторійська ,
UA01080150010090810,0110900000,city,Євпаторія ,
UA01080170000067481,0110945300,hromada,Заозерненська ,
UA01080170010046248,0110945300,urban village,Заозерне,
UA01080190000077346,0124382000,hromada,Зернівська ,
UA01080190010030424,0124382001,village,Зернове,
UA01080190020017068,0124382003,village,Низинне,
UA01080210000085553,0124382200,hromada,Іванівська ,
UA01080210010010376,0124382201,village,Іванівка,Ivanivka
UA01080210020062665,0124382202,village,Жайворонки,
UA01080230000099101,0125682200,hromada,Кіровська ,
UA01080230010016967,0125682201,village,Тарханкут,
UA01080230020089042,0125682202,village,Дозорне,
UA01080230030073042,0125682203,village,Задорне,
UA01080230040061221,0125682204,settlement,Низівка,
UA01080250000089512,0124382600,hromada,Кольцовська ,
UA01080250010038727,0124382601,village,Кольцове,
UA01080250020031275,0124382602,village,Вогневе,
UA01080250030026159,0124382604,village,Нива,
UA01080270000041617,0124383000,hromada,Крайненська ,
UA01080270010042114,0124383001,village,Крайнє,
UA01080270020014692,0124383002,village,Вершинне,
UA01080270030054826,0124383004,village,Трудове,
UA01080290000094502,0125683300,hromada,Краснополянська ,
UA01080290010052970,0125683301,village,Красна Поляна,
UA01080290020022799,0125683302,village,Внукове,
UA01080290030039527,0125683303,village,Кузнецьке,
UA01080310000030238,0125683500,hromada,Красноярська ,
UA01080310010068676,0125683501,village,Красноярське,
UA01080310020027696,0125683503,village,Ленське,
UA01080330000045383,0124383400,hromada,Кримська ,
UA01080330010055488,0124383401,village,Кримське,
UA01080330020028472,0124383402,village,Валентинове,
UA01080330030086649,0124383404,village,Ігорівка,
UA01080330040033504,0124383406,village,Степове,
UA01080350000063181,0124383900,hromada,Ліснівська ,
UA01080350010089970,0124383901,village,Ліснівка,
UA01080350020048787,0124383902,village,Володимирівка,
UA01080350030055672,0124383903,village,Гаршине,
UA01080350040020024,0124383904,village,Куликівка,Kulykivka
UA01080350050023625,0124383905,village,Прибережне,
UA01080370000027490,0125684400,hromada,Медведівська ,
UA01080370010062149,0125684401,village,Медведеве,
UA01080370020095086,0125684402,settlement,Озерівка,
UA01080390000062037,0110945600,hromada,Мирнівська ,
UA01080390010079538,0110945600,urban village,Мирний,
UA01080410000097623,0124384400,hromada,Митяївська ,
UA01080410010013368,0124384401,village,Митяєве,
UA01080410020095880,0124384402,village,Долинка,
UA01080410030075580,0124384403,village,Журавлі,
UA01080410040068627,0124384404,village,Листове,
UA01080410050018168,0124384405,village,Шовковичне,
UA01080430000040534,0125684800,hromada,Міжводненська ,
UA01080430010095937,0125684801,village,Міжводне,
UA01080430020021643,0125684802,village,Водопійне,
UA01080430030067997,0125684803,village,Зайцеве,
UA01080430040087411,0125684804,village,Коп-Аран,
UA01080430050015001,0125684805,village,Сніжне,
UA01080450000078177,0124384700,hromada,Молочненська ,
UA01080450010026478,0124384701,village,Молочне,
UA01080450020059599,0124384702,village,Абрикосівка,
UA01080450030044367,0124384703,village,Вітине,
UA01080470000052776,0125685600,hromada,Новоіванівська ,
UA01080470010032818,0125685601,village,Новоіванівка,
UA01080470020020935,0125685604,village,Хмельове,
UA01080490000088705,0110945800,hromada,Новоозернівська ,
UA01080490010081920,0110945800,urban village,Новоозерне,
UA01080510000081703,0125686000,hromada,Новосільська ,
UA01080510010031099,0125686001,village,Новосільське,
UA01080510020050303,0125686002,village,Тока,
UA01080530000095517,0124355500,hromada,Новофедорівська ,
UA01080530010014181,0124355500,urban village,Новофедорівка ,
UA01080550000082915,0125687300,hromada,Окунівська ,
UA01080550010096083,0125687301,village,Окунівка,
UA01080550020081415,0125687302,village,Громове,
UA01080550030019128,0125687303,village,Знам’янське,
UA01080550040061512,0125687304,village,Красносільське,
UA01080550050043635,0125687305,village,Мар’їне,
