eoname,schoolname
Лисівська загальноосвітня школа І-ІІІ ступенів Покровської районної ради Донецької області,Лисівська загальноосвітня школа І-ІІІ ступенів Покровської районної ради Донецької області
Тарасівський навчально-виховний комплекс І-ІІІ ступенів Іллінівської сільської ради Костянтинівського району Донецької області,Тарасівський навчально-виховний комплекс І-ІІІ ступенів Іллінівської сільської ради Костянтинівського району Донецької області
Новотроїцька загальноосвітня школа І-ІІІ ступенів Покровської районної ради Донецької області,Новотроїцька загальноосвітня школа І-ІІІ ступенів Покровської районної ради Донецької області
Берестівська загальноосвітня школа І-ІІІ ступенів Соледарської міської ради Донецької області,Берестівська загальноосвітня школа І-ІІІ ступенів Соледарської міської ради Донецької області
Удачненська загальноосвітня школа І-ІІІ ступенів Покровської районної ради Донецької області,Удачненська загальноосвітня школа І-ІІІ ступенів Покровської районної ради Донецької області
Ліцей №25 м.Житомира,Ліцей №25 м.Житомира
Білилівська гімназія,Білилівська гімназія
Приворотська загальноосвтня школа I-III ступенів Брусилівської селищної ради,Приворотська загальноосвтня школа I-III ступенів Брусилівської селищної ради
Радомишльський ліцей №1 ім. Т.Г.Шевченка,Радомишльський ліцей №1 ім. Т.Г.Шевченка
Ружинська гімназія,Ружинська гімназія
Морозівська загальноосвітня школа I-III ступенів Брусилівської селищної ради,Морозівська загальноосвітня школа I-III ступенів Брусилівської селищної ради
Бердичівська міська гуманітарна гімназія №2,Бердичівська міська гуманітарна гімназія №2
Озерненська гімназія,Озерненська гімназія
"Осівецький навчально-виховний комплекс ""Загальноосвітній навчальний заклад І-ІІІ ступенів-дошкільний навчальний заклад"" Брусилівської селищної ради","Осівецький навчально-виховний комплекс ""Загальноосвітній навчальний заклад І-ІІІ ступенів-дошкільний навчальний заклад"" Брусилівської селищної ради"
Хомутецька загальноосвітня школа I-III ступенів Брусилівської селищної ради,Хомутецька загальноосвітня школа I-III ступенів Брусилівської селищної ради
"Лазарівський навчально-виховний комплекс ""Загальноосвітній навчальний заклад I-III ступенів - дошкільний навчальний заклад"" Брусилівської селищної ради","Лазарівський навчально-виховний комплекс ""Загальноосвітній навчальний заклад I-III ступенів - дошкільний навчальний заклад"" Брусилівської селищної ради"
Новогуйвинська гімназія,Новогуйвинська гімназія
Вацлавпільська гімназія,Вацлавпільська гімназія
Соловіївська загальноосвітня школа I-III ступенів Брусилівської селищної ради,Соловіївська загальноосвітня школа I-III ступенів Брусилівської селищної ради
Биківська загальноосвітня школа I-III ступенів Брусилівської селищної ради,Биківська загальноосвітня школа I-III ступенів Брусилівської селищної ради
Косоньська загальноосвітня школа І-ІІІ ступенів з угорською мовою навчання Берегівської районної ради Закарпатської області,Косоньська загальноосвітня школа І-ІІІ ступенів з угорською мовою навчання Берегівської районної ради Закарпатської області
Стеблівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Стеблівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Липецькополянська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Липецькополянська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Керецьківська загальноосвітня школа І-ІІІ ступенів Свалявської районної ради Закарпатської області,Керецьківська загальноосвітня школа І-ІІІ ступенів Свалявської районної ради Закарпатської області
Квасівська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області,Квасівська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області
Ільницька загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області,Ільницька загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області
Верхньокоропецька загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області,Верхньокоропецька загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області
Нанківська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Нанківська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Великобичківська загальноосвітня школа І-ІІІ ступенів №2 Рахівської районної ради Закарпатської області,Великобичківська загальноосвітня школа І-ІІІ ступенів №2 Рахівської районної ради Закарпатської області
Імстичівська загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області,Імстичівська загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області
Дубівська загальноосвітня школа І-ІІІ ступенів Дубівської селищної ради Тячівського району Закарпатської області,Дубівська загальноосвітня школа І-ІІІ ступенів Дубівської селищної ради Тячівського району Закарпатської області
Грушівська загальноосвітня школа І-ІІІ ступенів Грушівської сільської ради Тячівського району Закарпатської області,Грушівська загальноосвітня школа І-ІІІ ступенів Грушівської сільської ради Тячівського району Закарпатської області
Мукачівська загальноосвітня школа І-ІІІ ступенів № 13 Мукачівської міської ради Закарпатської області,Мукачівська загальноосвітня школа І-ІІІ ступенів № 13 Мукачівської міської ради Закарпатської області
Дерценська загальноосвітня школа І-ІІІ ступенів з угорською мовою навчання Мукачівської районної ради Закарпатської області,Дерценська загальноосвітня школа І-ІІІ ступенів з угорською мовою навчання Мукачівської районної ради Закарпатської області
Рахівська загальноосвітня школа І-ІІІ ступенів №3 Рахівської районної ради Закарпатської області,Рахівська загальноосвітня школа І-ІІІ ступенів №3 Рахівської районної ради Закарпатської області
Буштинська загальноосвітня школа І-ІІІ ступенів Буштинської селищної ради Тячівського району Закарпатської області,Буштинська загальноосвітня школа І-ІІІ ступенів Буштинської селищної ради Тячівського району Закарпатської області
Тересвянська загальноосвітня школа І-ІІІ ступенів Тересвянської селищної ради Тячівського району Закарпатської області,Тересвянська загальноосвітня школа І-ІІІ ступенів Тересвянської селищної ради Тячівського району Закарпатської області
Золотарівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Золотарівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Нересницька загальноосвітня школа І-ІІІ ступенів Нересницької сільської ради Тячівського району Закарпатської області,Нересницька загальноосвітня школа І-ІІІ ступенів Нересницької сільської ради Тячівського району Закарпатської області
Усть-Чорнянська загальноосвітня школа І-ІІІ ступенів Усть-Чорнянської селищної ради Тячівського району Закарпатської області,Усть-Чорнянська загальноосвітня школа І-ІІІ ступенів Усть-Чорнянської селищної ради Тячівського району Закарпатської області
Калинівська загальноосвітня школа І-ІІІ ступенів Калинівської сільської ради Тячівського району Закарпатської області,Калинівська загальноосвітня школа І-ІІІ ступенів Калинівської сільської ради Тячівського району Закарпатської області
Великолучківська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області,Великолучківська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області
Олександрівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Олександрівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Приборжавська загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області,Приборжавська загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області
Середньоводянська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області,Середньоводянська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області
Костилівська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області,Костилівська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області
Чинадіївська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області,Чинадіївська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області
Великоберезька загальноосвітня школа І-ІІІ ступенів Берегівської районної ради Закарпатської області,Великоберезька загальноосвітня школа І-ІІІ ступенів Берегівської районної ради Закарпатської області
Ужгородська загальноосвітня школа І-ІІІ ступенів №8 Ужгородської міської ради Закарпатської області,Ужгородська загальноосвітня школа І-ІІІ ступенів №8 Ужгородської міської ради Закарпатської області
Нижньоселищенська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Нижньоселищенська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Ганичівська загальноосвітня школа І-ІІІ ступенів Ганичівської сільської ради Тячівського району Закарпатської області,Ганичівська загальноосвітня школа І-ІІІ ступенів Ганичівської сільської ради Тячівського району Закарпатської області
Арданівська загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області,Арданівська загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області
Великопаладська загальноосвітня школа І-ІІІ ступенів імені Жігмонда Моріца Виноградівської районної ради Закарпатської області,Великопаладська загальноосвітня школа І-ІІІ ступенів імені Жігмонда Моріца Виноградівської районної ради Закарпатської області
Вільховецька загальноосвітня школа І-ІІІ ступенів Вільховецької сільської ради Тячівського району Закарпатської області,Вільховецька загальноосвітня школа І-ІІІ ступенів Вільховецької сільської ради Тячівського району Закарпатської області
Ужгородська загальноосвітня школа І-ІІІ ступенів №15 Ужгородської міської ради Закарпатської області,Ужгородська загальноосвітня школа І-ІІІ ступенів №15 Ужгородської міської ради Закарпатської області
Класична гімназія Ужгородської міської ради Закарпатської області,Класична гімназія Ужгородської міської ради Закарпатської області
Мукачівська спеціалізована школа І-ІІІ ступенів № 4 з поглибленим вивченням окремих предметів та курсів Мукачівської міської ради Закарпатської області,Мукачівська спеціалізована школа І-ІІІ ступенів № 4 з поглибленим вивченням окремих предметів та курсів Мукачівської міської ради Закарпатської області
Доробратівська загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області,Доробратівська загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області
Рахівська загальноосвітня школа І-ІІІ ступенів №4 Рахівської районної ради Закарпатської області,Рахівська загальноосвітня школа І-ІІІ ступенів №4 Рахівської районної ради Закарпатської області
Тур'я-Реметівська загальноосвітня школа І-ІІІ ступенів Перечинського району Закарпатської області,Тур'я-Реметівська загальноосвітня школа І-ІІІ ступенів Перечинського району Закарпатської області
Кушницька загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області,Кушницька загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області
Берегівська загальноосвітня школа І-ІІІ ступенів № 5 з поглибленим вивченням англійської мови імені Т.Г.Шевченка Берегівської міської ради Закарпатської області,Берегівська загальноосвітня школа І-ІІІ ступенів № 5 з поглибленим вивченням англійської мови імені Т.Г.Шевченка Берегівської міської ради Закарпатської області
Березівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Березівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Ужгородська спеціалізована школа І-ІІІ ступенів №3 з поглибленим вивченням англійської мови Ужгородської міської ради Закарпатської області,Ужгородська спеціалізована школа І-ІІІ ступенів №3 з поглибленим вивченням англійської мови Ужгородської міської ради Закарпатської області
Клячанівська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області,Клячанівська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області
Бобовищенська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області,Бобовищенська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області
Рокосівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Рокосівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Краснянська загальноосвітня школа І-ІІІ ступенів Краснянської сільської ради Тячівського району Закарпатської області,Краснянська загальноосвітня школа І-ІІІ ступенів Краснянської сільської ради Тячівського району Закарпатської області
Мукачівська загальноосвітня школа І-ІІІ ступенів № 7 Мукачівської міської ради Закарпатської області,Мукачівська загальноосвітня школа І-ІІІ ступенів № 7 Мукачівської міської ради Закарпатської області
Ужгородська спеціалізована школа І-ІІІ ступенів №5 з поглибленим вивченням іноземних мов Ужгородської міської ради Закарпатської області,Ужгородська спеціалізована школа І-ІІІ ступенів №5 з поглибленим вивченням іноземних мов Ужгородської міської ради Закарпатської області
Торуньська загальноосвітня школа І-ІІІ ступенів Міжгірської районної ради Закарпатської області,Торуньська загальноосвітня школа І-ІІІ ступенів Міжгірської районної ради Закарпатської області
Вонігівська загальноосвітня школа І-ІІІ ступенів Вонігівської сільської ради Тячівського району Закарпатської області,Вонігівська загальноосвітня школа І-ІІІ ступенів Вонігівської сільської ради Тячівського району Закарпатської області
Синевирська загальноосвітня школа І-ІІІ ступенів Міжгірської районної ради Закарпатської області,Синевирська загальноосвітня школа І-ІІІ ступенів Міжгірської районної ради Закарпатської області
Липчанська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Липчанська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Добрянська загальноосвітня школа І-ІІІ ступенів Вільховецької сільської ради Тячівського району Закарпатської області,Добрянська загальноосвітня школа І-ІІІ ступенів Вільховецької сільської ради Тячівського району Закарпатської області
Сілецька загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області,Сілецька загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області
Баркасівська загальноосвітня школа І-ІІІ ступенів з угорською мовою навчання Мукачівської районної ради Закарпатської області,Баркасівська загальноосвітня школа І-ІІІ ступенів з угорською мовою навчання Мукачівської районної ради Закарпатської області
Малораковецька загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області,Малораковецька загальноосвітня школа І-ІІІ ступенів Іршавської районної ради Закарпатської області
Драгівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Драгівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Водицька загальноосвітня школа І-ІІІ ступенів №1 Рахівської районної ради Закарпатської області,Водицька загальноосвітня школа І-ІІІ ступенів №1 Рахівської районної ради Закарпатської області
Рахівська загальноосвітня школа І-ІІІ ступенів №2 Рахівської районної ради Закарпатської області,Рахівська загальноосвітня школа І-ІІІ ступенів №2 Рахівської районної ради Закарпатської області
Виноградівська гімназія Виноградівської районної ради Закарпатської області,Виноградівська гімназія Виноградівської районної ради Закарпатської області
"Навчально-виховний комплекс ""Хижанська загальноосвітня школа І-ІІІ ступенів- дошкільний навчальний заклад"" Виноградівської районної ради Закарпатської області","Навчально-виховний комплекс ""Хижанська загальноосвітня школа І-ІІІ ступенів- дошкільний навчальний заклад"" Виноградівської районної ради Закарпатської області"
Вільховецько-Лазівська загальноосвітня школа І-ІІІ ступенів Вільховецької сільської ради Тячівського району Закарпатської області,Вільховецько-Лазівська загальноосвітня школа І-ІІІ ступенів Вільховецької сільської ради Тячівського району Закарпатської області
Колочавська загальноосвітня школа І-ІІІ ступенів №1 Міжгірської районної ради Закарпатської області,Колочавська загальноосвітня школа І-ІІІ ступенів №1 Міжгірської районної ради Закарпатської області
Чорнотисянська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області,Чорнотисянська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області
Порошківська загальноосвітня школа І-ІІІ ступенів Перечинського району Закарпатської області,Порошківська загальноосвітня школа І-ІІІ ступенів Перечинського району Закарпатської області
Горінчівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області,Горінчівська загальноосвітня школа І-ІІІ ступенів Хустської районної державної адміністрації Закарпатської області
Ужгородська загальноосвітня школа І-ІІІ ступенів №7 Ужгородської міської ради Закарпатської області,Ужгородська загальноосвітня школа І-ІІІ ступенів №7 Ужгородської міської ради Закарпатської області
Нижньоапшанська загальноосвітня школа І-ІІІ ступенів Нижньоапшанської сільської ради Тячівського району Закарпатської області,Нижньоапшанська загальноосвітня школа І-ІІІ ступенів Нижньоапшанської сільської ради Тячівського району Закарпатської області
Пийтерфолвівська загальноосвітня школа І-ІІІ ступенів Виноградівської районної ради Закарпатської області,Пийтерфолвівська загальноосвітня школа І-ІІІ ступенів Виноградівської районної ради Закарпатської області
Міжгірська загальноосвітня школа І-ІІІ ступенів №1 Міжгірської районної ради Закарпатської області,Міжгірська загальноосвітня школа І-ІІІ ступенів №1 Міжгірської районної ради Закарпатської області
Річанська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області,Річанська загальноосвітня школа І-ІІІ ступенів Рахівської районної ради Закарпатської області
Новодавидківська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області,Новодавидківська загальноосвітня школа І-ІІІ ступенів Мукачівської районної ради Закарпатської області
Углянська загальноосвітня школа І-ІІІ ступенів Углянської сільської ради Тячівського району Закарпатської області,Углянська загальноосвітня школа І-ІІІ ступенів Углянської сільської ради Тячівського району Закарпатської області
Ясінянська загальноосвітня школа І-ІІІ ступенів №1 Рахівської районної ради Закарпатської області,Ясінянська загальноосвітня школа І-ІІІ ступенів №1 Рахівської районної ради Закарпатської області
