eoname,schoolname
Балинцівська загальноосвітня школа І-ІІІ ступенів Снятинської районної ради Івано-Франківської області,Балинцівська загальноосвітня школа І-ІІІ ступенів Снятинської районної ради Івано-Франківської області
Гвіздецький ліцей Коломийської районної ради Івано-Франківської області,Гвіздецький ліцей Коломийської районної ради Івано-Франківської області
Яремчанська загальноосвітня школа І-ІІІ ступенів №1 Яремчанської міської ради Івано-Франківської області,Яремчанська загальноосвітня школа І-ІІІ ступенів №1 Яремчанської міської ради Івано-Франківської області
Нижньострутинська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області,Нижньострутинська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області
Обертинський ліцей Тлумацької районної ради Івано-Франківської області,Обертинський ліцей Тлумацької районної ради Івано-Франківської області
Тлумацька загальноосвітня школа І-ІІІ ступенів Тлумацької міської ради об'єднаної територіальної громади Тлумацького району Івано-Франківської області,Тлумацька загальноосвітня школа І-ІІІ ступенів Тлумацької міської ради об'єднаної територіальної громади Тлумацького району Івано-Франківської області
Отинійський ліцей Коломийської районної ради Івано-Франківської області,Отинійський ліцей Коломийської районної ради Івано-Франківської області
Калуська загальноосвітня школа І-ІІІ ступенів №3 Калуської міської ради Івано-Франківської області,Калуська загальноосвітня школа І-ІІІ ступенів №3 Калуської міської ради Івано-Франківської області
Красноїльська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області,Красноїльська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області
Коломийський ліцей №2 Коломийської міської ради Івано-Франківської області,Коломийський ліцей №2 Коломийської міської ради Івано-Франківської області
Рожнятівська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області,Рожнятівська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області
Нижньовербізький ліцей Нижньовербізької сільської ради об'єднаної територіальної громади Івано-Франківської області,Нижньовербізький ліцей Нижньовербізької сільської ради об'єднаної територіальної громади Івано-Франківської області
Галицький ліцей імені Ярослава Осмомисла Галицької районної ради Івано-Франківської області,Галицький ліцей імені Ярослава Осмомисла Галицької районної ради Івано-Франківської області
Тустанська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області,Тустанська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області
Коломийський ліцей №8 Коломийської міської ради Івано-Франківської області,Коломийський ліцей №8 Коломийської міської ради Івано-Франківської області
Косівський ліцей імені Ігоря Пелипейка Косівської районної ради Івано-Франківської області,Косівський ліцей імені Ігоря Пелипейка Косівської районної ради Івано-Франківської області
Дубовецька загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області,Дубовецька загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області
Перегінська загальноосвітня школа І-ІІІ ступенів №2 Рожнятівської районної ради Івано-Франківської області,Перегінська загальноосвітня школа І-ІІІ ступенів №2 Рожнятівської районної ради Івано-Франківської області
Деліївська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області,Деліївська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області
Івано-Франківський природничо-математичний ліцей Івано-Франківської міської ради Івано-Франківської області,Івано-Франківський природничо-математичний ліцей Івано-Франківської міської ради Івано-Франківської області
Тлумацька гімназія Тлумацької міської ради об'єднаної територіальної громади Тлумацького району Івано-Франківської області,Тлумацька гімназія Тлумацької міської ради об'єднаної територіальної громади Тлумацького району Івано-Франківської області
Павлівський ліцей Ямницької сільської ради об'єднаної територіальної громади Івано-Франківської області,Павлівський ліцей Ямницької сільської ради об'єднаної територіальної громади Івано-Франківської області
Яблуницька загальноосвітня школа І-ІІІ ступенів Яремчанської міської ради Івано-Франківської області,Яблуницька загальноосвітня школа І-ІІІ ступенів Яремчанської міської ради Івано-Франківської області
Верховинська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області,Верховинська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області
Чорнолізька загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області,Чорнолізька загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області
Княждвірський ліцей Печеніжинської ОТГ Коломийського району Івано-Франківської області,Княждвірський ліцей Печеніжинської ОТГ Коломийського району Івано-Франківської області
Залуквянська загальноосвітня школа І-ІІІ ступенів імені Іванни Блажкевич Галицької районної ради Івано-Франківської області,Залуквянська загальноосвітня школа І-ІІІ ступенів імені Іванни Блажкевич Галицької районної ради Івано-Франківської області
Коломийський ліцей №9 Коломийської міської ради Івано-Франківської області,Коломийський ліцей №9 Коломийської міської ради Івано-Франківської області
Ясенська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області,Ясенська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області
Ворохтянська загальноосвітня школа І-ІІІ ступенів Яремчанської міської ради Івано-Франківської області,Ворохтянська загальноосвітня школа І-ІІІ ступенів Яремчанської міської ради Івано-Франківської області
Уторопський ліцей Яблунівської селищної ради об'єднаної територіальної громади Косівського району Івано-Франківської області,Уторопський ліцей Яблунівської селищної ради об'єднаної територіальної громади Косівського району Івано-Франківської області
Липівська загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області,Липівська загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області
Тисменицька спеціалізована школа І-ІІІ ступенів з поглибленим вивченням окремих предметів Тисменицької районної ради Івано-Франківської області,Тисменицька спеціалізована школа І-ІІІ ступенів з поглибленим вивченням окремих предметів Тисменицької районної ради Івано-Франківської області
Раківчицький ліцей Коломийської районної ради Івано-Франківської області,Раківчицький ліцей Коломийської районної ради Івано-Франківської області
Красненська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області,Красненська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області
Бурштинська гімназія Бурштинської міської ради Івано-Франківської області,Бурштинська гімназія Бурштинської міської ради Івано-Франківської області
"Хімчинський ліцей ""Інтелект"" Рожнівської сільської ради об'єднаної територіальної громади Косівського району Івано-Франківської області","Хімчинський ліцей ""Інтелект"" Рожнівської сільської ради об'єднаної територіальної громади Косівського району Івано-Франківської області"
Клубовецька загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області,Клубовецька загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області
Коломийський ліцей №5 імені Т.Г.Шевченка Коломийської міської ради Івано-Франківської області,Коломийський ліцей №5 імені Т.Г.Шевченка Коломийської міської ради Івано-Франківської області
Микуличинська загальноосвітня школа І-ІІІ ступенів Яремчанської міської ради Івано-Франківської області,Микуличинська загальноосвітня школа І-ІІІ ступенів Яремчанської міської ради Івано-Франківської області
Сопівський ліцей Печеніжинської селищної ради об'єднаної територіальної громади Коломийського району Івано-Франківської області,Сопівський ліцей Печеніжинської селищної ради об'єднаної територіальної громади Коломийського району Івано-Франківської області
Товмачицький ліцей Коломийської міської ради Івано-Франківської області,Товмачицький ліцей Коломийської міської ради Івано-Франківської області
Маріямпільська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області,Маріямпільська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області
Верхньолипицький ліцей Рогатинської районної ради Івано-Франківської області,Верхньолипицький ліцей Рогатинської районної ради Івано-Франківської області
Заболотівський ліцей Заболотівської селищної ради об'єднаної територіальної громади Снятинського району Івано-Франківської області,Заболотівський ліцей Заболотівської селищної ради об'єднаної територіальної громади Снятинського району Івано-Франківської області
Пійлівська ЗОШ І-ІІІ ступенів Калуської районної ради Івано-Франківської області,Пійлівська ЗОШ І-ІІІ ступенів Калуської районної ради Івано-Франківської області
Марківська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області,Марківська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області
Долинський ліцей №7 Долинської районної ради Івано-Франківської області,Долинський ліцей №7 Долинської районної ради Івано-Франківської області
Дорогівська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області,Дорогівська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області
Микитинецька загальноосвітня школа І-ІІІ ступенів Івано-Франківської міської ради Івано-Франківської області,Микитинецька загальноосвітня школа І-ІІІ ступенів Івано-Франківської міської ради Івано-Франківської області
Підмихайлівський ліцей Новицької сільської ради об'єднаної територіальної громади Калуського району Івано-Франківської області,Підмихайлівський ліцей Новицької сільської ради об'єднаної територіальної громади Калуського району Івано-Франківської області
Сваричівська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області,Сваричівська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області
Саджавська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області,Саджавська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області
Іваниківська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області,Іваниківська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області
Староугринівський ліцей Новицької сільської ради об'єднаної територіальної громади Калуського району Івано-Франківської області,Староугринівський ліцей Новицької сільської ради об'єднаної територіальної громади Калуського району Івано-Франківської області
Ковалівський ліцей Коломийської районної ради Івано-Франківської області,Ковалівський ліцей Коломийської районної ради Івано-Франківської області
Блюдниківська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області,Блюдниківська загальноосвітня школа І-ІІІ ступенів Галицької районної ради Івано-Франківської області
Калуський ліцей № 2 Калуської міської ради Івано-Франківської області,Калуський ліцей № 2 Калуської міської ради Івано-Франківської області
Порогівська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області,Порогівська загальноосвітня школа І-ІІІ ступенів Богородчанської районної ради Івано-Франківської області
Бурштинська загальноосвітня школа І-ІІІ ступенів №1 Бурштинської міської ради Івано-Франківської області,Бурштинська загальноосвітня школа І-ІІІ ступенів №1 Бурштинської міської ради Івано-Франківської області
Калуська загальноосвітня школа І-ІІІ ступенів №7 Калуської міської ради Івано-Франківської області,Калуська загальноосвітня школа І-ІІІ ступенів №7 Калуської міської ради Івано-Франківської області
Замагорівська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області,Замагорівська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області
Калуська загальноосвітня школа І-ІІІ ступенів №1 Калуської міської ради Івано-Франківської області,Калуська загальноосвітня школа І-ІІІ ступенів №1 Калуської міської ради Івано-Франківської області
Верхньоясенівська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області,Верхньоясенівська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області
Ямницький ліцей Ямницької сільської ради об'єднаної територіальної громади Івано-Франківської області,Ямницький ліцей Ямницької сільської ради об'єднаної територіальної громади Івано-Франківської області
Старолисецька загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області,Старолисецька загальноосвітня школа І-ІІІ ступенів Тисменицької районної ради Івано-Франківської області
Добровлянський ліцей Новицької сільської ради об'єднаної територіальної громади Калуського району Івано-Франківської області,Добровлянський ліцей Новицької сільської ради об'єднаної територіальної громади Калуського району Івано-Франківської області
"Тяпчанський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад"" імені Ольги Дучимінської","Тяпчанський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад"" імені Ольги Дучимінської"
Королівська загальноосвітня школа І-ІІІ ступенів Тлумацької міської ради об'єднаної територіальної громади Тлумацького району Івано-Франківської області,Королівська загальноосвітня школа І-ІІІ ступенів Тлумацької міської ради об'єднаної територіальної громади Тлумацького району Івано-Франківської області
Підліський ліцей Загвіздянської сільської ради об'єднаної територіальної громади Тисменицького району Івано-Франківської області,Підліський ліцей Загвіздянської сільської ради об'єднаної територіальної громади Тисменицького району Івано-Франківської області
Ільцівська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області,Ільцівська загальноосвітня школа І-ІІІ ступенів Верховинської районної ради Івано-Франківської області
Виноградський ліцей Коломийської районної ради Івано-Франківської області,Виноградський ліцей Коломийської районної ради Івано-Франківської області
Надіївська загальноосвітня школа I-III ступенів Долинської районної ради Івано-Франківської області,Надіївська загальноосвітня школа I-III ступенів Долинської районної ради Івано-Франківської області
Волосівський ліцей Переріслянської сільської ради об'єднаної територіальної громади,Волосівський ліцей Переріслянської сільської ради об'єднаної територіальної громади
Ліснохлібичинський ліцей Коломийської районної ради Івано-Франківської області,Ліснохлібичинський ліцей Коломийської районної ради Івано-Франківської області
Ріпненська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області,Ріпненська загальноосвітня школа І-ІІІ ступенів Рожнятівської районної ради Івано-Франківської області
"Комунальний заклад ""Луцька гімназія №21 імені Михайла Кравчука Луцької міської ради Волинської області""","Комунальний заклад ""Луцька гімназія №21 імені Михайла Кравчука Луцької міської ради Волинської області"""
Загальноосвітня школа І-ІІІ ступеня с. Піддубці Луцького району Волинської області,Загальноосвітня школа І-ІІІ ступеня с. Піддубці Луцького району Волинської області
"Заклад загальної середньої освіти ""Бірківський ліцей"" Любешівської селищної ради Волинської області","Заклад загальної середньої освіти ""Бірківський ліцей"" Любешівської селищної ради Волинської області"
Заклад загальної середньої освіти І-ІІІ ступенів села Липне Цуманської селищної ради Волинської області,Заклад загальної середньої освіти І-ІІІ ступенів села Липне Цуманської селищної ради Волинської області
Загальноосвітня школа І-ІІІ ступеня с. Садів Луцького району Волинської області,Загальноосвітня школа І-ІІІ ступеня с. Садів Луцького району Волинської області
Загальноосвітня школа І-ІІІ ступенів №1 імені Героя України Андрія Снітка смт Маневичі Маневицького району Волинської області,Загальноосвітня школа І-ІІІ ступенів №1 імені Героя України Андрія Снітка смт Маневичі Маневицького району Волинської області
"Заклад загальної середньої освіти ""Залаззівський ліцей"" Любешівської селищної ради Волинської області","Заклад загальної середньої освіти ""Залаззівський ліцей"" Любешівської селищної ради Волинської області"
"Комунальний заклад ""Бужанківський ліцей імені Миколи Корзонюка"" Поромівської сільської ради Волинської області","Комунальний заклад ""Бужанківський ліцей імені Миколи Корзонюка"" Поромівської сільської ради Волинської області"
Головненський ліцей Головненської селищної ради Любомльського району Волинської області,Головненський ліцей Головненської селищної ради Любомльського району Волинської області
"Опорний заклад загальної середньої освіти ""Любешівський ліцей"" Любешівської селищної ради Волинської області","Опорний заклад загальної середньої освіти ""Любешівський ліцей"" Любешівської селищної ради Волинської області"
"Комунальний заклад ""Луцька гімназія №18 Луцької міської ради Волинської області""","Комунальний заклад ""Луцька гімназія №18 Луцької міської ради Волинської області"""
"Опорний навчальний заклад ""Дубівська загальноосвітня школа І-ІІІ ступенів Дубівської сільської ради Ковельського району Волинської області""","Опорний навчальний заклад ""Дубівська загальноосвітня школа І-ІІІ ступенів Дубівської сільської ради Ковельського району Волинської області"""
"Опорний навчальний заклад ""Люблинецька загальноосвітня школа І-ІІІ ступенів Люблинецької селищної ради Волинської області""","Опорний навчальний заклад ""Люблинецька загальноосвітня школа І-ІІІ ступенів Люблинецької селищної ради Волинської області"""
Загальноосвітня школа І-ІІІ ступеня с. Романів Луцького району Волинської області,Загальноосвітня школа І-ІІІ ступеня с. Романів Луцького району Волинської області
Городищенський заклад загальної середньої освіти І-ІІІ ступенів Городищенської сільської ради,Городищенський заклад загальної середньої освіти І-ІІІ ступенів Городищенської сільської ради
"Опорний заклад ""Загальноосвітня школа І-ІІІ ступенів с.Цміни"" Маневицького району Волинської області","Опорний заклад ""Загальноосвітня школа І-ІІІ ступенів с.Цміни"" Маневицького району Волинської області"
Нововолинська загальноосвітня школа І-ІІІ ступенів № 6 Нововолинської міської ради Волинської області,Нововолинська загальноосвітня школа І-ІІІ ступенів № 6 Нововолинської міської ради Волинської області
"Княгининівський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад"" Княгининівської сільської ради","Княгининівський навчально-виховний комплекс ""Загальноосвітня школа І-ІІІ ступенів - дошкільний навчальний заклад"" Княгининівської сільської ради"
Загальноосвітня школа І-ІІІ ступеня с. Мирне Горохівського району Волинської області,Загальноосвітня школа І-ІІІ ступеня с. Мирне Горохівського району Волинської області
Загальноосвітня школа І-ІІІ ступеня с. Липини Луцького району Волинської області,Загальноосвітня школа І-ІІІ ступеня с. Липини Луцького району Волинської області
